       6     137      37      52

     EOS file :  Prof_BSk26_1.4.dat                                          

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.085917E-01   9.239546E+14    1.27756E+35   0.000000000E+00  -4.526674E-01   0.000000000E+00
     1     100.000001   5.085615E-01   9.238915E+14    1.27732E+35   1.945689182E-06  -4.526427E-01   1.793701320E-06
     2     116.664857   5.085522E-01   9.238720E+14    1.27725E+35   3.089529625E-06  -4.526350E-01   2.848210489E-06
     3     136.106500   5.085395E-01   9.238455E+14    1.27715E+35   4.905734057E-06  -4.526247E-01   4.522599771E-06
     4     158.787222   5.085223E-01   9.238094E+14    1.27701E+35   7.789428089E-06  -4.526106E-01   7.181182179E-06
     5     185.246097   5.084988E-01   9.237604E+14    1.27683E+35   1.236782495E-05  -4.525914E-01   1.140229504E-05
     6     216.111604   5.084669E-01   9.236935E+14    1.27658E+35   1.963641561E-05  -4.525652E-01   1.810393146E-05
     7     252.116275   5.084234E-01   9.236026E+14    1.27624E+35   3.117492185E-05  -4.525297E-01   2.874299840E-05
     8     294.113618   5.083643E-01   9.234789E+14    1.27577E+35   4.948954858E-05  -4.524813E-01   4.563121273E-05
     9     343.097629   5.082838E-01   9.233106E+14    1.27514E+35   7.855501485E-05  -4.524155E-01   7.243561335E-05
    10     400.225168   5.081743E-01   9.230816E+14    1.27428E+35   1.246721453E-04  -4.523259E-01   1.149709411E-04
    11     466.841461   5.080253E-01   9.227700E+14    1.27312E+35   1.978229381E-04  -4.522041E-01   1.824527007E-04
    12     544.508892   5.078227E-01   9.223463E+14    1.27153E+35   3.138078172E-04  -4.520385E-01   2.894757551E-04
    13     635.039082   5.075472E-01   9.217703E+14    1.26938E+35   4.976082285E-04  -4.518134E-01   4.591321044E-04
    14     740.527919   5.071728E-01   9.209874E+14    1.26645E+35   7.886591760E-04  -4.515076E-01   7.279098873E-04
    15     863.392683   5.066640E-01   9.199239E+14    1.26249E+35   1.249078055E-03  -4.510924E-01   1.153361461E-03
    16    1006.409460   5.059734E-01   9.184804E+14    1.25712E+35   1.976424985E-03  -4.505291E-01   1.826041854E-03
    17    1172.747616   5.050367E-01   9.165230E+14    1.24986E+35   3.123314272E-03  -4.497661E-01   2.887959079E-03
    18    1365.995800   5.037678E-01   9.138722E+14    1.24007E+35   4.927181882E-03  -4.487340E-01   4.560796761E-03
    19    1590.170453   5.020517E-01   9.102891E+14    1.22692E+35   7.754679240E-03  -4.473412E-01   7.188466394E-03
    20    1849.692666   4.997373E-01   9.054673E+14    1.20933E+35   1.216623450E-02  -4.454675E-01   1.129996101E-02
    21    2149.309010   4.966268E-01   8.990135E+14    1.18594E+35   1.900658659E-02  -4.429570E-01   1.769941407E-02
    22    2493.928185   4.924604E-01   8.903781E+14    1.15509E+35   2.952416639E-02  -4.396123E-01   2.758936526E-02
    23    2888.344187   4.869160E-01   8.789443E+14    1.11486E+35   4.551542433E-02  -4.351894E-01   4.272842834E-02
    24    3336.741943   4.795908E-01   8.639051E+14    1.06314E+35   6.946816803E-02  -4.293992E-01   6.560696166E-02
    25    3842.009668   4.700121E-01   8.443752E+14    9.97934E+34   1.046452486E-01  -4.219193E-01   9.959577528E-02
    26    4404.726911   4.576512E-01   8.193847E+14    9.17761E+34   1.549892668E-01  -4.124254E-01   1.489598848E-01
    27    5021.914545   4.419705E-01   7.880213E+14    8.22328E+34   2.246798457E-01  -4.006482E-01   2.185591181E-01
    28    5685.648350   4.225043E-01   7.495824E+14    7.13286E+34   3.171577163E-01  -3.864629E-01   3.129947833E-01
    29    6381.904521   3.989830E-01   7.038496E+14    5.94835E+34   4.336025862E-01  -3.699994E-01   4.350386362E-01
    30    7090.178717   3.714667E-01   6.512719E+14    4.73738E+34   5.712208602E-01  -3.517427E-01   5.835174346E-01
    31    7784.642717   3.404575E-01   5.931088E+14    3.58321E+34   7.222541979E-01  -3.325617E-01   7.515146984E-01
    32    8437.233201   3.069187E-01   5.313782E+14    2.56534E+34   8.747854369E-01  -3.136081E-01   9.263255925E-01
    33    9022.297668   2.721442E-01   4.685168E+14    1.73803E+34   1.015666376E+00  -2.960762E-01   1.092207932E+00
    34    9521.478467   2.375050E-01   4.069034E+14    1.11801E+34   1.134419690E+00  -2.809085E-01   1.235198528E+00
    35    9926.958810   2.041664E-01   3.484028E+14    6.87305E+33   1.226011726E+00  -2.685884E-01   1.347360116E+00
    36   10241.796737   1.728952E-01   2.941217E+14    4.07427E+33   1.291115602E+00  -2.591131E-01   1.428013633E+00
    37   10477.395837   1.440268E-01   2.444257E+14    2.35275E+33   1.334239223E+00  -2.521253E-01   1.481827080E+00
    38   10649.440517   1.177441E-01   1.994555E+14    1.33693E+33   1.361236629E+00  -2.471043E-01   1.515658412E+00
    39   10773.830925   9.504618E-02   1.607847E+14    7.52348E+32   1.377508590E+00  -2.435299E-01   1.536094433E+00
    40   10863.130601   6.271681E-02   1.059185E+14    4.34482E+32   1.386671251E+00  -2.409989E-01   1.547615343E+00
    41   10942.976421   4.491367E-02   7.573566E+13    2.51728E+32   1.392098688E+00  -2.387663E-01   1.554446222E+00
    42   11008.883121   3.162812E-02   5.327811E+13    1.46332E+32   1.395315977E+00  -2.369479E-01   1.558496206E+00
    43   11064.192990   2.224743E-02   3.743755E+13    8.49167E+31   1.397235620E+00  -2.354400E-01   1.560912484E+00
    44   11110.471741   1.559020E-02   2.621131E+13    4.92524E+31   1.398373210E+00  -2.341916E-01   1.562344284E+00
    45   11149.234227   1.091024E-02   1.832734E+13    2.85566E+31   1.399044827E+00  -2.331554E-01   1.563189522E+00
    46   11181.674942   7.588545E-03   1.273985E+13    1.65561E+31   1.399439982E+00  -2.322949E-01   1.563686819E+00
    47   11208.941696   5.198867E-03   8.725069E+12    9.63566E+30   1.399670676E+00  -2.315764E-01   1.563977041E+00
    48   11232.263502   3.418151E-03   5.733397E+12    5.67459E+30   1.399804097E+00  -2.309654E-01   1.564144861E+00
    49   11253.279518   2.077884E-03   3.483642E+12    3.44735E+30   1.399879794E+00  -2.304175E-01   1.564240072E+00
    50   11274.393561   1.174365E-03   1.967471E+12    2.10371E+30   1.399925849E+00  -2.298697E-01   1.564297996E+00
    51   11297.315850   6.405711E-04   1.072031E+12    1.32656E+30   1.399952718E+00  -2.292780E-01   1.564331803E+00
    52   11323.977926   3.757590E-04   6.285942E+11    8.18761E+29   1.399970450E+00  -2.285936E-01   1.564354117E+00
    53   11352.211850   1.891017E-04   3.159353E+11    5.55208E+29   1.399979749E+00  -2.278733E-01   1.564365825E+00
    54   11390.530517   1.227862E-04   2.050490E+11    3.30389E+29   1.399987790E+00  -2.269031E-01   1.564375947E+00
    55   11425.975942   8.042401E-05   1.341677E+11    1.94845E+29   1.399992711E+00  -2.260132E-01   1.564382140E+00
    56   11458.185294   5.222053E-05   8.703072E+10    1.15862E+29   1.399995618E+00  -2.252106E-01   1.564385799E+00
    57   11487.929882   3.494915E-05   5.822799E+10    6.82112E+28   1.399997394E+00  -2.244745E-01   1.564388035E+00
    58   11514.283030   2.267954E-05   3.776212E+10    4.05173E+28   1.399998439E+00  -2.238265E-01   1.564389348E+00
    59   11538.565528   1.515314E-05   2.521663E+10    2.38090E+28   1.399999075E+00  -2.232327E-01   1.564390149E+00
    60   11560.052263   9.916501E-06   1.649279E+10    1.41435E+28   1.399999446E+00  -2.227099E-01   1.564390616E+00
    61   11579.662883   6.495919E-06   1.080647E+10    8.41924E+27   1.399999668E+00  -2.222350E-01   1.564390895E+00
    62   11597.558235   4.359911E-06   7.248522E+09    4.94206E+27   1.399999804E+00  -2.218034E-01   1.564391066E+00
    63   11613.282567   2.892029E-06   4.806150E+09    2.90910E+27   1.399999884E+00  -2.214256E-01   1.564391166E+00
    64   11627.291895   1.932201E-06   3.210132E+09    1.71281E+27   1.399999931E+00  -2.210900E-01   1.564391226E+00
    65   11639.680320   1.297416E-06   2.155080E+09    1.00469E+27   1.399999959E+00  -2.207942E-01   1.564391261E+00
    66   11650.534879   8.714639E-07   1.447490E+09    5.89162E+26   1.399999976E+00  -2.205356E-01   1.564391282E+00
    67   11660.034916   5.579917E-07   9.264075E+08    3.51114E+26   1.399999986E+00  -2.203098E-01   1.564391294E+00
    68   11668.899739   3.752483E-07   6.229183E+08    2.05770E+26   1.399999991E+00  -2.200996E-01   1.564391301E+00
    69   11676.641538   2.525188E-07   4.192055E+08    1.20564E+26   1.399999995E+00  -2.199163E-01   1.564391306E+00
    70   11683.393605   1.662153E-07   2.758905E+08    7.07862E+25   1.399999997E+00  -2.197567E-01   1.564391308E+00
    71   11689.426328   1.116670E-07   1.853238E+08    4.15621E+25   1.399999998E+00  -2.196143E-01   1.564391310E+00
    72   11694.706589   7.539760E-08   1.251199E+08    2.43172E+25   1.399999999E+00  -2.194898E-01   1.564391311E+00
    73   11699.287913   5.104772E-08   8.469324E+07    1.42121E+25   1.399999999E+00  -2.193819E-01   1.564391311E+00
    74   11703.247586   3.462114E-08   5.743468E+07    8.30412E+24   1.399999999E+00  -2.192887E-01   1.564391311E+00
    75   11706.662314   2.353651E-08   3.905156E+07    4.84509E+24   1.400000000E+00  -2.192084E-01   1.564391312E+00
    76   11709.594781   1.606012E-08   2.664694E+07    2.82535E+24   1.400000000E+00  -2.191395E-01   1.564391312E+00
