       6     135      35      50

     EOS file :  Prof_BSk26_1.0.dat                                          

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.036274E-01   7.128248E+14    6.17099E+34   0.000000000E+00  -3.001908E-01   0.000000000E+00
     1     100.000001   4.036025E-01   7.127768E+14    6.16979E+34   1.501082916E-06  -3.001736E-01   1.423500406E-06
     2     116.664747   4.035950E-01   7.127622E+14    6.16943E+34   2.383542595E-06  -3.001684E-01   2.260362637E-06
     3     136.106231   4.035848E-01   7.127425E+14    6.16893E+34   3.784719461E-06  -3.001614E-01   3.589154936E-06
     4     158.786709   4.035709E-01   7.127156E+14    6.16825E+34   6.009441607E-06  -3.001518E-01   5.698981680E-06
     5     185.245200   4.035520E-01   7.126790E+14    6.16734E+34   9.541580874E-06  -3.001387E-01   9.048776331E-06
     6     216.110097   4.035262E-01   7.126292E+14    6.16609E+34   1.514911053E-05  -3.001209E-01   1.436697640E-05
     7     252.113794   4.034911E-01   7.125614E+14    6.16438E+34   2.405068546E-05  -3.000967E-01   2.280959676E-05
     8     294.109585   4.034434E-01   7.124691E+14    6.16207E+34   3.817963080E-05  -3.000638E-01   3.621079774E-05
     9     343.091122   4.033785E-01   7.123436E+14    6.15892E+34   6.060199284E-05  -3.000190E-01   5.747981384E-05
    10     400.214718   4.032902E-01   7.121729E+14    6.15464E+34   9.617790020E-05  -2.999581E-01   9.122918209E-05
    11     466.824736   4.031700E-01   7.119406E+14    6.14882E+34   1.526064185E-04  -2.998752E-01   1.447678605E-04
    12     544.482188   4.030066E-01   7.116246E+14    6.14091E+34   2.420731941E-04  -2.997626E-01   2.296686014E-04
    13     634.996518   4.027844E-01   7.111950E+14    6.13017E+34   3.838420216E-04  -2.996094E-01   3.642360899E-04
    14     740.460166   4.024824E-01   7.106111E+14    6.11558E+34   6.083168673E-04  -2.994014E-01   5.773815871E-04
    15     863.284951   4.020720E-01   7.098180E+14    6.09581E+34   9.633781244E-04  -2.991190E-01   9.146799547E-04
    16    1006.238317   4.015149E-01   7.087412E+14    6.06903E+34   1.524200956E-03  -2.987360E-01   1.447783300E-03
    17    1172.475986   4.007592E-01   7.072810E+14    6.03284E+34   2.408329654E-03  -2.982173E-01   2.288933767E-03
    18    1365.565088   3.997355E-01   7.053032E+14    5.98405E+34   3.798524902E-03  -2.975160E-01   3.613086892E-03
    19    1589.488234   3.983514E-01   7.026312E+14    5.91849E+34   5.976766114E-03  -2.965702E-01   5.691105135E-03
    20    1848.612823   3.964858E-01   6.990414E+14    5.83081E+34   9.373571967E-03  -2.952985E-01   8.938440609E-03
    21    2147.600574   3.939762E-01   6.942148E+14    5.71427E+34   1.463663378E-02  -2.935965E-01   1.398409858E-02
    22    2491.238687   3.906148E-01   6.877574E+14    5.56067E+34   2.272101767E-02  -2.913318E-01   2.176373769E-02
    23    2884.124465   3.861419E-01   6.791965E+14    5.36046E+34   3.499619140E-02  -2.883424E-01   3.363500429E-02
    24    3330.153143   3.802319E-01   6.679193E+14    5.10337E+34   5.334843920E-02  -2.844384E-01   5.149923929E-02
    25    3831.783371   3.725027E-01   6.532354E+14    4.77969E+34   8.023144355E-02  -2.794117E-01   7.788807368E-02
    26    4388.993371   3.625269E-01   6.343855E+14    4.38253E+34   1.185706152E-01  -2.730597E-01   1.159252683E-01
    27    4997.995655   3.498739E-01   6.106530E+14    3.91115E+34   1.713882883E-01  -2.652263E-01   1.690223171E-01
    28    5649.835215   3.341687E-01   5.814445E+14    3.37477E+34   2.410196605E-01  -2.558640E-01   2.401377167E-01
    29    6329.342224   3.151939E-01   5.465036E+14    2.79545E+34   3.279312928E-01  -2.451062E-01   3.305333865E-01
    30    7014.993973   2.929980E-01   5.060832E+14    2.20775E+34   4.294679668E-01  -2.333245E-01   4.382688054E-01
    31    7680.445538   2.679784E-01   4.610570E+14    1.65324E+34   5.392686091E-01  -2.211307E-01   5.571896431E-01
    32    8298.083091   2.408834E-01   4.128730E+14    1.17029E+34   6.481474351E-01  -2.092860E-01   6.774502856E-01
    33    8844.046100   2.127019E-01   3.633130E+14    7.83534E+33   7.465532590E-01  -1.985283E-01   7.880369677E-01
    34    9303.080207   1.844560E-01   3.141298E+14    4.98403E+33   8.275153310E-01  -1.893849E-01   8.802931989E-01
    35    9671.182541   1.569988E-01   2.667130E+14    3.03663E+33   8.884073337E-01  -1.820655E-01   9.503896860E-01
    36    9954.891177   1.309258E-01   2.219807E+14    1.79102E+33   9.306788446E-01  -1.764805E-01   9.993839332E-01
    37   10167.731619   1.070121E-01   1.811545E+14    1.03369E+33   9.581752698E-01  -1.723503E-01   1.031387113E+00
    38   10325.041617   8.477123E-02   1.433201E+14    5.88585E+32   9.752374163E-01  -1.693448E-01   1.051292850E+00
    39   10442.103831   5.488088E-02   9.262393E+13    3.48493E+32   9.848415671E-01  -1.671421E-01   1.062514447E+00
    40   10552.025267   3.908056E-02   6.587271E+13    2.02990E+32   9.908933896E-01  -1.651079E-01   1.069593526E+00
    41   10644.247636   2.757369E-02   4.642967E+13    1.18354E+32   9.945463006E-01  -1.634300E-01   1.073867183E+00
    42   10722.105346   1.941157E-02   3.265322E+13    6.88362E+31   9.967534507E-01  -1.620354E-01   1.076449514E+00
    43   10787.616665   1.360699E-02   2.286953E+13    4.00123E+31   9.980744075E-01  -1.608781E-01   1.077994987E+00
    44   10842.785097   9.530165E-03   1.600385E+13    2.32282E+31   9.988620700E-01  -1.599151E-01   1.078916514E+00
    45   10889.116578   6.606895E-03   1.109077E+13    1.35073E+31   9.993275418E-01  -1.591148E-01   1.079461041E+00
    46   10928.395303   4.474567E-03   7.507918E+12    7.89103E+30   9.996010930E-01  -1.584423E-01   1.079780942E+00
    47   10962.587744   2.817395E-03   4.724845E+12    4.67608E+30   9.997599810E-01  -1.578614E-01   1.079966742E+00
    48   10995.024938   1.713671E-03   2.872492E+12    2.84238E+30   9.998518039E-01  -1.573142E-01   1.080074113E+00
    49   11027.684115   9.377710E-04   1.570570E+12    1.77881E+30   9.999057407E-01  -1.567671E-01   1.080137189E+00
    50   11065.322459   5.246095E-04   8.777886E+11    1.11684E+30   9.999397710E-01  -1.561412E-01   1.080177002E+00
    51   11107.940567   2.358195E-04   3.940340E+11    7.00874E+29   9.999614859E-01  -1.554386E-01   1.080202407E+00
    52   11168.030411   1.505133E-04   2.513352E+11    4.22447E+29   9.999763120E-01  -1.544587E-01   1.080219762E+00
    53   11225.547423   9.956012E-05   1.661813E+11    2.50925E+29   9.999856600E-01  -1.535323E-01   1.080230699E+00
    54   11277.857744   6.457970E-05   1.076496E+11    1.49583E+29   9.999913035E-01  -1.526994E-01   1.080237302E+00
    55   11326.533627   4.261244E-05   7.100907E+10    8.88619E+28   9.999947522E-01  -1.519325E-01   1.080241337E+00
    56   11370.825051   2.806279E-05   4.673381E+10    5.23623E+28   9.999968631E-01  -1.512414E-01   1.080243807E+00
    57   11410.852526   1.858894E-05   3.095010E+10    3.10768E+28   9.999981144E-01  -1.506223E-01   1.080245270E+00
    58   11447.026036   1.218061E-05   2.026716E+10    1.83364E+28   9.999988745E-01  -1.500672E-01   1.080246159E+00
    59   11479.867129   7.891877E-06   1.312713E+10    1.08594E+28   9.999993265E-01  -1.495667E-01   1.080246688E+00
    60   11510.100913   5.284191E-06   8.787429E+09    6.38974E+27   9.999995999E-01  -1.491090E-01   1.080247008E+00
    61   11536.843789   3.530886E-06   5.869382E+09    3.75410E+27   9.999997630E-01  -1.487065E-01   1.080247198E+00
    62   11560.497955   2.341209E-06   3.889870E+09    2.21464E+27   9.999998591E-01  -1.483522E-01   1.080247311E+00
    63   11581.656369   1.572072E-06   2.611664E+09    1.29966E+27   9.999999168E-01  -1.480368E-01   1.080247378E+00
    64   11600.231223   1.056155E-06   1.754054E+09    7.62475E+26   9.999999509E-01  -1.477610E-01   1.080247418E+00
    65   11616.518802   6.870568E-07   1.141012E+09    4.48851E+26   9.999999709E-01  -1.475200E-01   1.080247441E+00
    66   11631.307624   4.544811E-07   7.545018E+08    2.66353E+26   9.999999826E-01  -1.473019E-01   1.080247455E+00
    67   11644.619283   3.057314E-07   5.074934E+08    1.56120E+26   9.999999898E-01  -1.471061E-01   1.080247463E+00
    68   11656.251177   2.058311E-07   3.417356E+08    9.14583E+25   9.999999940E-01  -1.469355E-01   1.080247468E+00
    69   11666.394690   1.357144E-07   2.252406E+08    5.42179E+25   9.999999964E-01  -1.467870E-01   1.080247471E+00
    70   11675.536865   9.160426E-08   1.520224E+08    3.17299E+25   9.999999979E-01  -1.466534E-01   1.080247473E+00
    71   11683.478805   6.196689E-08   1.028206E+08    1.85604E+25   9.999999987E-01  -1.465376E-01   1.080247474E+00
    72   11690.358620   4.195781E-08   6.960439E+07    1.08487E+25   9.999999992E-01  -1.464374E-01   1.080247474E+00
    73   11696.307313   2.851347E-08   4.730585E+07    6.33303E+24   9.999999995E-01  -1.463509E-01   1.080247475E+00
    74   11701.423002   1.939410E-08   3.218034E+07    3.69511E+24   9.999999997E-01  -1.462765E-01   1.080247475E+00
    75   11705.815364   1.326205E-08   2.200322E+07    2.15172E+24   9.999999998E-01  -1.462128E-01   1.080247475E+00
    76   11709.559481   9.085402E-09   1.507204E+07    1.25266E+24   9.999999999E-01  -1.461585E-01   1.080247475E+00
