       6     136      36      51

     EOS file :  Prof_BSk26_1.2.dat                                          

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.534468E-01   8.109369E+14    8.91495E+34   0.000000000E+00  -3.710673E-01   0.000000000E+00
     1     100.000001   4.534197E-01   8.108826E+14    8.91327E+34   1.707692945E-06  -3.710469E-01   1.599209878E-06
     2     116.664823   4.534114E-01   8.108660E+14    8.91276E+34   2.711618643E-06  -3.710406E-01   2.539375517E-06
     3     136.106418   4.534001E-01   8.108434E+14    8.91206E+34   4.305664289E-06  -3.710321E-01   4.032202217E-06
     4     158.787071   4.533848E-01   8.108128E+14    8.91112E+34   6.836623021E-06  -3.710205E-01   6.402493121E-06
     5     185.245836   4.533640E-01   8.107710E+14    8.90982E+34   1.085498572E-05  -3.710048E-01   1.016585978E-05
     6     216.111171   4.533356E-01   8.107141E+14    8.90807E+34   1.723447124E-05  -3.709833E-01   1.614072030E-05
     7     252.115570   4.532969E-01   8.106368E+14    8.90568E+34   2.736156164E-05  -3.709541E-01   2.562592766E-05
     8     294.112481   4.532444E-01   8.105315E+14    8.90243E+34   4.343588484E-05  -3.709144E-01   4.068236050E-05
     9     343.095805   4.531729E-01   8.103882E+14    8.89801E+34   6.894593273E-05  -3.708604E-01   6.457905058E-05
    10     400.222251   4.530756E-01   8.101933E+14    8.89199E+34   1.094217266E-04  -3.707869E-01   1.024993976E-04
    11     466.836806   4.529432E-01   8.099282E+14    8.88381E+34   1.736240777E-04  -3.706869E-01   1.626578268E-04
    12     544.501474   4.527631E-01   8.095675E+14    8.87270E+34   2.754202903E-04  -3.705509E-01   2.580626897E-04
    13     635.027271   4.525183E-01   8.090772E+14    8.85760E+34   4.367351829E-04  -3.703661E-01   4.092934915E-04
    14     740.509131   4.521855E-01   8.084108E+14    8.83711E+34   6.921781149E-04  -3.701151E-01   6.488633350E-04
    15     863.362810   4.517334E-01   8.075056E+14    8.80932E+34   1.096264018E-03  -3.697743E-01   1.028044040E-03
    16    1006.361979   4.511196E-01   8.062767E+14    8.77168E+34   1.734610146E-03  -3.693120E-01   1.627485455E-03
    17    1172.672173   4.502871E-01   8.046100E+14    8.72081E+34   2.741142636E-03  -3.686858E-01   2.573612602E-03
    18    1365.875962   4.491591E-01   8.023528E+14    8.65221E+34   4.324209531E-03  -3.678389E-01   4.063676443E-03
    19    1589.980142   4.476335E-01   7.993008E+14    8.56001E+34   6.805514870E-03  -3.666961E-01   6.403456672E-03
    20    1849.390531   4.455762E-01   7.951959E+14    8.43666E+34   1.067672053E-02  -3.651591E-01   1.006280919E-02
    21    2148.828482   4.428102E-01   7.896914E+14    8.27264E+34   1.667872791E-02  -3.631003E-01   1.575492832E-02
    22    2493.167381   4.391041E-01   7.823223E+14    8.05629E+34   2.590618558E-02  -3.603585E-01   2.454428658E-02
    23    2887.142094   4.341712E-01   7.725571E+14    7.77406E+34   3.993341125E-02  -3.567348E-01   3.798311201E-02
    24    3334.847183   4.276510E-01   7.596950E+14    7.41120E+34   6.093846559E-02  -3.519942E-01   5.826045315E-02
    25    3839.033692   4.191206E-01   7.429615E+14    6.95360E+34   9.177341995E-02  -3.458767E-01   8.832125077E-02
    26    4400.080255   4.081054E-01   7.215008E+14    6.39087E+34   1.358742168E-01  -3.381227E-01   1.318565714E-01
    27    5014.722241   3.941221E-01   6.944955E+14    5.72101E+34   1.968604434E-01  -3.285225E-01   1.930055719E-01
    28    5674.650967   3.767484E-01   6.612879E+14    4.95579E+34   2.776623113E-01  -3.169897E-01   2.755618483E-01
    29    6365.377724   3.557362E-01   6.216248E+14    4.12512E+34   3.791688705E-01  -3.036514E-01   3.815648336E-01
    30    7065.918520   3.311299E-01   5.758232E+14    3.27704E+34   4.987266267E-01  -2.889272E-01   5.094771451E-01
    31    7750.089437   3.033654E-01   5.249049E+14    2.47058E+34   6.293161751E-01  -2.735446E-01   6.527614812E-01
    32    8389.799761   2.732862E-01   4.705645E+14    1.76179E+34   7.603614708E-01  -2.584457E-01   8.001090115E-01
    33    8959.900151   2.420250E-01   4.148919E+14    1.18834E+34   8.804206443E-01  -2.445826E-01   9.380902496E-01
    34    9443.131989   2.107747E-01   3.599430E+14    7.61009E+33   9.806511210E-01  -2.326791E-01   1.055362184E+00
    35    9833.219329   1.805411E-01   3.073471E+14    4.66045E+33   1.057143868E+00  -2.230742E-01   1.146061304E+00
    36   10134.787949   1.519835E-01   2.580882E+14    2.75600E+33   1.110949229E+00  -2.157184E-01   1.210439981E+00
    37   10360.369902   1.254771E-01   2.126632E+14    1.59099E+33   1.146270067E+00  -2.102934E-01   1.252940557E+00
    38   10525.983130   1.018557E-01   1.723721E+14    9.04913E+32   1.168281633E+00  -2.063725E-01   1.279511964E+00
    39   10646.390531   7.772339E-02   1.313533E+14    5.12745E+32   1.181433052E+00  -2.035643E-01   1.295414930E+00
    40   10738.300511   5.156361E-02   8.699855E+13    3.14377E+32   1.188319713E+00  -2.014511E-01   1.303752978E+00
    41   10825.091418   3.652245E-02   6.154863E+13    1.82808E+32   1.193036831E+00  -1.994847E-01   1.309467447E+00
    42   10897.833420   2.572533E-02   4.330852E+13    1.06309E+32   1.195862848E+00  -1.978602E-01   1.312891060E+00
    43   10958.951412   1.807268E-02   3.039579E+13    6.17192E+31   1.197553191E+00  -1.965128E-01   1.314938816E+00
    44   11010.217811   1.265694E-02   2.126906E+13    3.58256E+31   1.198556747E+00  -1.953954E-01   1.316154484E+00
    45   11053.246592   8.856955E-03   1.487088E+13    2.07769E+31   1.199151056E+00  -1.944666E-01   1.316874395E+00
    46   11089.290576   6.125811E-03   1.028266E+13    1.20873E+31   1.199499725E+00  -1.936951E-01   1.317296673E+00
    47   11119.866732   4.126193E-03   6.922588E+12    7.08383E+30   1.199703197E+00  -1.930453E-01   1.317543027E+00
    48   11146.668830   2.557915E-03   4.289289E+12    4.24489E+30   1.199819977E+00  -1.924793E-01   1.317684412E+00
    49   11172.744645   1.546096E-03   2.591306E+12    2.58251E+30   1.199889080E+00  -1.919317E-01   1.317768072E+00
    50   11199.155109   8.359133E-04   1.399703E+12    1.63028E+30   1.199929070E+00  -1.913803E-01   1.317816494E+00
    51   11230.195255   4.757436E-04   7.959869E+11    1.02235E+30   1.199954889E+00  -1.907363E-01   1.317847770E+00
    52   11264.653753   2.152165E-04   3.596072E+11    6.38147E+29   1.199971413E+00  -1.900264E-01   1.317867785E+00
    53   11312.597599   1.385594E-04   2.313784E+11    3.82222E+29   1.199982598E+00  -1.890477E-01   1.317881340E+00
    54   11357.703176   9.122811E-05   1.522431E+11    2.26314E+29   1.199989540E+00  -1.881361E-01   1.317889751E+00
    55   11398.698920   5.920307E-05   9.867921E+10    1.34736E+29   1.199993687E+00  -1.873152E-01   1.317894776E+00
    56   11436.693566   3.931384E-05   6.550909E+10    7.98146E+28   1.199996214E+00  -1.865609E-01   1.317897837E+00
    57   11470.880639   2.538463E-05   4.225971E+10    4.70805E+28   1.199997741E+00  -1.858874E-01   1.317899687E+00
    58   11502.374317   1.703648E-05   2.835761E+10    2.76581E+28   1.199998660E+00  -1.852713E-01   1.317900799E+00
    59   11530.135960   1.114649E-05   1.854290E+10    1.63884E+28   1.199999199E+00  -1.847317E-01   1.317901452E+00
    60   11555.443940   7.238292E-06   1.204061E+10    9.72845E+27   1.199999520E+00  -1.842425E-01   1.317901842E+00
    61   11578.706647   4.858462E-06   8.077302E+09    5.71137E+27   1.199999716E+00  -1.837951E-01   1.317902079E+00
    62   11599.167460   3.233294E-06   5.374074E+09    3.35468E+27   1.199999832E+00  -1.834034E-01   1.317902219E+00
    63   11617.310495   2.151401E-06   3.574419E+09    1.97772E+27   1.199999901E+00  -1.830575E-01   1.317902302E+00
    64   11633.454596   1.444524E-06   2.399632E+09    1.16032E+27   1.199999941E+00  -1.827508E-01   1.317902351E+00
    65   11647.612296   9.703261E-07   1.611426E+09    6.80560E+26   1.199999965E+00  -1.824828E-01   1.317902380E+00
    66   11660.015550   6.161212E-07   1.022947E+09    4.01217E+26   1.199999980E+00  -1.822485E-01   1.317902397E+00
    67   11671.564675   4.143601E-07   6.878708E+08    2.35173E+26   1.199999988E+00  -1.820310E-01   1.317902407E+00
    68   11681.656650   2.787856E-07   4.627873E+08    1.37817E+26   1.199999993E+00  -1.818413E-01   1.317902413E+00
    69   11690.466207   1.861331E-07   3.090050E+08    8.08074E+25   1.199999996E+00  -1.816761E-01   1.317902417E+00
    70   11698.216775   1.237582E-07   2.053942E+08    4.78138E+25   1.199999998E+00  -1.815310E-01   1.317902419E+00
    71   11705.127582   8.352715E-08   1.386158E+08    2.79789E+25   1.199999999E+00  -1.814018E-01   1.317902420E+00
    72   11711.128547   5.653450E-08   9.380181E+07    1.63574E+25   1.199999999E+00  -1.812897E-01   1.317902421E+00
    73   11716.319687   3.829464E-08   6.352641E+07    9.55960E+24   1.200000000E+00  -1.811929E-01   1.317902421E+00
    74   11720.804303   2.603490E-08   4.319521E+07    5.57791E+24   1.200000000E+00  -1.811094E-01   1.317902422E+00
    75   11724.656349   1.773564E-08   2.942776E+07    3.25380E+24   1.200000000E+00  -1.810377E-01   1.317902422E+00
    76   11727.957352   1.212748E-08   2.012035E+07    1.89463E+24   1.200000000E+00  -1.809763E-01   1.317902422E+00
