       6     136      36      51

     EOS file :  Prof_BSk24_1.2.dat                                          

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.683809E-01   6.528373E+14    6.50749E+34   0.000000000E+00  -3.387304E-01   0.000000000E+00
     1     100.000001   3.683619E-01   6.528000E+14    6.50644E+34   1.374776154E-06  -3.387142E-01   1.299207998E-06
     2     116.665078   3.683562E-01   6.527886E+14    6.50612E+34   2.183000814E-06  -3.387093E-01   2.063016517E-06
     3     136.107072   3.683483E-01   6.527732E+14    6.50568E+34   3.466327391E-06  -3.387027E-01   3.275830705E-06
     4     158.788360   3.683376E-01   6.527521E+14    6.50509E+34   5.503977165E-06  -3.386936E-01   5.201550043E-06
     5     185.248151   3.683231E-01   6.527235E+14    6.50428E+34   8.739202657E-06  -3.386812E-01   8.259121928E-06
     6     216.115139   3.683033E-01   6.526846E+14    6.50318E+34   1.387556880E-05  -3.386644E-01   1.311357038E-05
     7     252.122197   3.682764E-01   6.526316E+14    6.50169E+34   2.202965465E-05  -3.386414E-01   2.082039109E-05
     8     294.123372   3.682397E-01   6.525595E+14    6.49965E+34   3.497312933E-05  -3.386103E-01   3.305451024E-05
     9     343.113519   3.681898E-01   6.524613E+14    6.49689E+34   5.551627760E-05  -3.385678E-01   5.247313910E-05
    10     400.250859   3.681220E-01   6.523278E+14    6.49312E+34   8.811512068E-05  -3.385101E-01   8.329041191E-05
    11     466.882778   3.680296E-01   6.521461E+14    6.48801E+34   1.398313971E-04  -3.384316E-01   1.321865207E-04
    12     544.575087   3.679040E-01   6.518991E+14    6.48105E+34   2.218481333E-04  -3.383249E-01   2.097441258E-04
    13     635.144828   3.677332E-01   6.515630E+14    6.47160E+34   3.518572812E-04  -3.381797E-01   3.327136831E-04
    14     740.696475   3.675010E-01   6.511062E+14    6.45876E+34   5.578103036E-04  -3.379825E-01   5.275770643E-04
    15     863.660865   3.671854E-01   6.504855E+14    6.44134E+34   8.837862784E-04  -3.377146E-01   8.361342438E-04
    16    1006.835457   3.667568E-01   6.496426E+14    6.41774E+34   1.399122764E-03  -3.373511E-01   1.324220102E-03
    17    1173.423225   3.661751E-01   6.484988E+14    6.38580E+34   2.212516062E-03  -3.368584E-01   2.095216297E-03
    18    1367.065467   3.653866E-01   6.469485E+14    6.34267E+34   3.493566397E-03  -3.361914E-01   3.310806259E-03
    19    1591.860683   3.643190E-01   6.448503E+14    6.28461E+34   5.505213298E-03  -3.352904E-01   5.222452466E-03
    20    1852.357017   3.628800E-01   6.420279E+14    6.20673E+34   8.651553831E-03  -3.340764E-01   8.218286415E-03
    21    2153.493880   3.609451E-01   6.382423E+14    6.10282E+34   1.354624007E-02  -3.324469E-01   1.289113655E-02
    22    2500.475720   3.583468E-01   6.331618E+14    5.96516E+34   2.110556234E-02  -3.302704E-01   2.013339075E-02
    23    2898.534772   3.548828E-01   6.264085E+14    5.78449E+34   3.266685547E-02  -3.273823E-01   3.126197190E-02
    24    3352.494580   3.502909E-01   6.174807E+14    5.55036E+34   5.012005853E-02  -3.235840E-01   4.816617101E-02
    25    3866.142519   3.442697E-01   6.058320E+14    5.25197E+34   7.601617885E-02  -3.186480E-01   7.345080993E-02
    26    4441.242784   3.364625E-01   5.908110E+14    4.87997E+34   1.135731023E-01  -3.123338E-01   1.105023768E-01
    27    5076.295625   3.264985E-01   5.717761E+14    4.42928E+34   1.664483028E-01  -3.044228E-01   1.633497959E-01
    28    5765.004157   3.140314E-01   5.481643E+14    3.90283E+34   2.381072730E-01  -2.947746E-01   2.361221388E-01
    29    6494.787952   2.988196E-01   5.196579E+14    3.31547E+34   3.306702248E-01  -2.834057E-01   3.319142443E-01
    30    7245.812459   2.808025E-01   4.862987E+14    2.69588E+34   4.433725300E-01  -2.705724E-01   4.510677519E-01
    31    7991.421178   2.601950E-01   4.486524E+14    2.08427E+34   5.712350451E-01  -2.568206E-01   5.893809518E-01
    32    8700.618805   2.375126E-01   4.077921E+14    1.52452E+34   7.049270035E-01  -2.429534E-01   7.373588587E-01
    33    9342.885383   2.135182E-01   3.651572E+14    1.05267E+34   8.326278256E-01  -2.298842E-01   8.817439248E-01
    34    9894.244130   1.890886E-01   3.222904E+14    6.87250E+33   9.434921799E-01  -2.184111E-01   1.009374123E+00
    35   10342.336596   1.650416E-01   2.805446E+14    4.26592E+33   1.030972516E+00  -2.090148E-01   1.111493846E+00
    36   10688.163078   1.420202E-01   2.409150E+14    2.53999E+33   1.094086576E+00  -2.017842E-01   1.185889107E+00
    37   10943.635337   1.205409E-01   2.041671E+14    1.46597E+33   1.136212363E+00  -1.964917E-01   1.235852115E+00
    38   11126.280389   1.012002E-01   1.712163E+14    8.27948E+32   1.162656444E+00  -1.927523E-01   1.267328729E+00
    39   11253.778628   8.264992E-02   1.396991E+14    4.62387E+32   1.178457274E+00  -1.901726E-01   1.286173470E+00
    40   11343.314851   4.996325E-02   8.428533E+13    2.98418E+32   1.185764567E+00  -1.883816E-01   1.294903323E+00
    41   11440.767116   3.536323E-02   5.958945E+13    1.73911E+32   1.191486832E+00  -1.864586E-01   1.301744728E+00
    42   11522.738494   2.492150E-02   4.195138E+13    1.01215E+32   1.194932931E+00  -1.848644E-01   1.305865383E+00
    43   11591.678764   1.750736E-02   2.944275E+13    5.87954E+31   1.196998670E+00  -1.835412E-01   1.308335641E+00
    44   11649.577041   1.226401E-02   2.060721E+13    3.41411E+31   1.198227426E+00  -1.824429E-01   1.309804976E+00
    45   11698.205030   8.573573E-03   1.439475E+13    1.98076E+31   1.198956054E+00  -1.815298E-01   1.310676275E+00
    46   11739.011950   5.930599E-03   9.954756E+12    1.15256E+31   1.199384163E+00  -1.807702E-01   1.311188105E+00
    47   11773.645000   3.986562E-03   6.688003E+12    6.76649E+30   1.199633677E+00  -1.801303E-01   1.311486336E+00
    48   11804.130002   2.455563E-03   4.117497E+12    4.07482E+30   1.199776520E+00  -1.795708E-01   1.311657063E+00
    49   11834.137152   1.465994E-03   2.456858E+12    2.48207E+30   1.199861997E+00  -1.790233E-01   1.311759223E+00
    50   11864.958185   7.941583E-04   1.329648E+12    1.56684E+30   1.199911663E+00  -1.784645E-01   1.311818594E+00
    51   11901.129173   4.539721E-04   7.595425E+11    9.79961E+29   1.199943903E+00  -1.778132E-01   1.311857149E+00
    52   11941.020813   2.060492E-04   3.442891E+11    6.10285E+29   1.199964492E+00  -1.771003E-01   1.311881768E+00
    53   11996.244603   1.332568E-04   2.225256E+11    3.64606E+29   1.199978414E+00  -1.761230E-01   1.311898425E+00
    54   12047.872014   8.757720E-05   1.461366E+11    2.15656E+29   1.199987025E+00  -1.752191E-01   1.311908724E+00
    55   12094.864818   5.686625E-05   9.478070E+10    1.28366E+29   1.199992164E+00  -1.744045E-01   1.311914872E+00
    56   12138.406676   3.786516E-05   6.309231E+10    7.59128E+28   1.199995305E+00  -1.736564E-01   1.311918628E+00
    57   12177.433096   2.446281E-05   4.072713E+10    4.48165E+28   1.199997195E+00  -1.729915E-01   1.311920888E+00
    58   12213.407090   1.642099E-05   2.733000E+10    2.63310E+28   1.199998334E+00  -1.723830E-01   1.311922250E+00
    59   12245.133362   1.073916E-05   1.786381E+10    1.56339E+28   1.199999002E+00  -1.718500E-01   1.311923048E+00
    60   12274.136435   6.993385E-06   1.163348E+10    9.29132E+27   1.199999402E+00  -1.713657E-01   1.311923526E+00
    61   12300.757804   4.694596E-06   7.804895E+09    5.45543E+27   1.199999647E+00  -1.709235E-01   1.311923818E+00
    62   12324.180599   3.121373E-06   5.187808E+09    3.20703E+27   1.199999791E+00  -1.705364E-01   1.311923991E+00
    63   12344.993081   2.080116E-06   3.455950E+09    1.89052E+27   1.199999877E+00  -1.701939E-01   1.311924093E+00
    64   12363.486411   1.396809E-06   2.320309E+09    1.10922E+27   1.199999928E+00  -1.698907E-01   1.311924154E+00
    65   12379.707096   9.383325E-07   1.558377E+09    6.50616E+26   1.199999958E+00  -1.696257E-01   1.311924190E+00
    66   12393.918889   5.958282E-07   9.892446E+08    3.83532E+26   1.199999975E+00  -1.693942E-01   1.311924211E+00
    67   12407.153359   4.007324E-07   6.652390E+08    2.24814E+26   1.199999986E+00  -1.691791E-01   1.311924224E+00
    68   12418.719588   2.696513E-07   4.476320E+08    1.31750E+26   1.199999992E+00  -1.689917E-01   1.311924231E+00
    69   12428.816018   1.791853E-07   2.974532E+08    7.72900E+25   1.199999996E+00  -1.688284E-01   1.311924235E+00
    70   12437.747193   1.195612E-07   1.984275E+08    4.56174E+25   1.199999998E+00  -1.686842E-01   1.311924238E+00
    71   12445.663028   8.069600E-08   1.339167E+08    2.66943E+25   1.199999999E+00  -1.685566E-01   1.311924240E+00
    72   12452.537351   5.463196E-08   9.064337E+07    1.56042E+25   1.200000000E+00  -1.684460E-01   1.311924240E+00
    73   12458.482190   3.702243E-08   6.141675E+07    9.11914E+24   1.200000000E+00  -1.683504E-01   1.311924241E+00
    74   12463.615658   2.517027E-08   4.176122E+07    5.32100E+24   1.200000001E+00  -1.682680E-01   1.311924241E+00
    75   12468.025301   1.715694E-08   2.846730E+07    3.10380E+24   1.200000001E+00  -1.681972E-01   1.311924241E+00
    76   12471.801960   1.173187E-08   1.946383E+07    1.80730E+24   1.200000001E+00  -1.681367E-01   1.311924242E+00
