       6     135      34      50

     EOS file :  Prof_BSk22_1.0.dat                                          

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.054686E-01   5.358309E+14    4.00974E+34   0.000000000E+00  -2.655331E-01   0.000000000E+00
     1     100.000001   3.054519E-01   5.357993E+14    4.00908E+34   1.128374623E-06  -2.655206E-01   1.077321298E-06
     2     116.665051   3.054469E-01   5.357898E+14    4.00888E+34   1.791740652E-06  -2.655168E-01   1.710680068E-06
     3     136.107027   3.054401E-01   5.357768E+14    4.00862E+34   2.845055685E-06  -2.655116E-01   2.716357381E-06
     4     158.788307   3.054308E-01   5.357592E+14    4.00825E+34   4.517495838E-06  -2.655046E-01   4.313178034E-06
     5     185.248105   3.054182E-01   5.357352E+14    4.00775E+34   7.172868834E-06  -2.654951E-01   6.848529347E-06
     6     216.115122   3.054010E-01   5.357025E+14    4.00708E+34   1.138863838E-05  -2.654822E-01   1.087383699E-05
     7     252.122242   3.053776E-01   5.356581E+14    4.00616E+34   1.808125648E-05  -2.654645E-01   1.726428533E-05
     8     294.123535   3.053457E-01   5.355976E+14    4.00490E+34   2.870485073E-05  -2.654405E-01   2.740864280E-05
     9     343.113889   3.053024E-01   5.355153E+14    4.00320E+34   4.556600760E-05  -2.654079E-01   4.351007987E-05
    10     400.251581   3.052434E-01   5.354033E+14    4.00088E+34   7.232207286E-05  -2.653634E-01   6.906252370E-05
    11     466.884083   3.051632E-01   5.352510E+14    3.99773E+34   1.147690618E-04  -2.653030E-01   1.096042162E-04
    12     544.577344   3.050540E-01   5.350437E+14    3.99344E+34   1.820855660E-04  -2.652208E-01   1.739081382E-04
    13     635.148632   3.049056E-01   5.347619E+14    3.98762E+34   2.887923958E-04  -2.651091E-01   2.758590135E-04
    14     740.702771   3.047038E-01   5.343788E+14    3.97971E+34   4.578308224E-04  -2.649573E-01   4.374052240E-04
    15     863.671159   3.044297E-01   5.338583E+14    3.96898E+34   7.253786802E-04  -2.647512E-01   6.931847467E-04
    16    1006.852149   3.040573E-01   5.331514E+14    3.95444E+34   1.148344162E-03  -2.644714E-01   1.097739105E-03
    17    1173.450131   3.035520E-01   5.321923E+14    3.93476E+34   1.815937774E-03  -2.640922E-01   1.736687528E-03
    18    1367.108648   3.028670E-01   5.308924E+14    3.90819E+34   2.867353730E-03  -2.635789E-01   2.743873730E-03
    19    1591.929766   3.019399E-01   5.291333E+14    3.87243E+34   4.518387586E-03  -2.628856E-01   4.327334155E-03
    20    1852.467269   3.006904E-01   5.267679E+14    3.82446E+34   7.100687525E-03  -2.619517E-01   6.807909362E-03
    21    2153.669622   2.990079E-01   5.235859E+14    3.76046E+34   1.111780538E-02  -2.606983E-01   1.067505588E-02
    22    2500.759918   2.967495E-01   5.193169E+14    3.67568E+34   1.732169009E-02  -2.590245E-01   1.666448701E-02
    23    2898.994849   2.937397E-01   5.136436E+14    3.56444E+34   2.680985864E-02  -2.568042E-01   2.585962734E-02
    24    3353.238047   2.897505E-01   5.061395E+14    3.42030E+34   4.113287070E-02  -2.538854E-01   3.981003388E-02
    25    3867.340753   2.845151E-01   4.963253E+14    3.23666E+34   6.238381734E-02  -2.500942E-01   6.064350232E-02
    26    4443.191518   2.777266E-01   4.836544E+14    3.00780E+34   9.320367480E-02  -2.452476E-01   9.111123779E-02
    27    5079.478359   2.690606E-01   4.675654E+14    2.73063E+34   1.365964847E-01  -2.391794E-01   1.344597280E-01
    28    5770.218175   2.582182E-01   4.475702E+14    2.40707E+34   1.954142682E-01  -2.317838E-01   1.939733525E-01
    29    6503.301697   2.449878E-01   4.233656E+14    2.04628E+34   2.714205874E-01  -2.230738E-01   2.720464841E-01
    30    7259.598092   2.293230E-01   3.949710E+14    1.66589E+34   3.640450449E-01  -2.132417E-01   3.688189122E-01
    31    8013.351727   2.114184E-01   3.628466E+14    1.29051E+34   4.693026703E-01  -2.026948E-01   4.808002719E-01
    32    8734.550727   1.917360E-01   3.279073E+14    9.46823E+33   5.796828005E-01  -1.920282E-01   6.003732593E-01
    33    9393.420986   1.709645E-01   2.914215E+14    6.56672E+33   6.856220948E-01  -1.819178E-01   7.170676986E-01
    34    9966.040821   1.498975E-01   2.547743E+14    4.31269E+33   7.782550555E-01  -1.729584E-01   8.205586121E-01
    35   10439.121832   1.292855E-01   2.192185E+14    2.69680E+33   8.520715643E-01  -1.655197E-01   9.039334160E-01
    36   10811.854943   1.097367E-01   1.857243E+14    1.61941E+33   9.059917345E-01  -1.596913E-01   9.653049170E-01
    37   11093.994795   9.180197E-02   1.551514E+14    9.43088E+32   9.425103750E-01  -1.553308E-01   1.007074745E+00
    38   11301.043226   7.160813E-02   1.210135E+14    5.40897E+32   9.655863230E-01  -1.521761E-01   1.033540833E+00
    39   11459.263684   5.190772E-02   8.758201E+13    3.17851E+32   9.790276048E-01  -1.498027E-01   1.048970856E+00
    40   11591.623471   3.693787E-02   6.225079E+13    1.86035E+32   9.873199414E-01  -1.478501E-01   1.058501332E+00
    41   11703.424975   2.609552E-02   4.393357E+13    1.08684E+32   9.923773359E-01  -1.462282E-01   1.064316194E+00
    42   11798.009884   1.837477E-02   3.090510E+13    6.33015E+31   9.954476634E-01  -1.448777E-01   1.067847127E+00
    43   11877.789386   1.288796E-02   2.165822E+13    3.68289E+31   9.972926772E-01  -1.437549E-01   1.069969081E+00
    44   11945.070098   9.030359E-03   1.516257E+13    2.13939E+31   9.983963060E-01  -1.428200E-01   1.071238449E+00
    45   12001.641420   6.253314E-03   1.049683E+13    1.24587E+31   9.990492740E-01  -1.420425E-01   1.071989389E+00
    46   12049.761195   4.220793E-03   7.081527E+12    7.30087E+30   9.994332592E-01  -1.413875E-01   1.072430861E+00
    47   12091.954372   2.629527E-03   4.409492E+12    4.36389E+30   9.996554242E-01  -1.408180E-01   1.072686279E+00
    48   12132.787354   1.604077E-03   2.688630E+12    2.65439E+30   9.997866434E-01  -1.402710E-01   1.072837133E+00
    49   12173.841126   8.666952E-04   1.451352E+12    1.67659E+30   9.998627736E-01  -1.397254E-01   1.072924669E+00
    50   12222.246605   4.920826E-04   8.233380E+11    1.05405E+30   9.999120041E-01  -1.390874E-01   1.072981302E+00
    51   12276.379172   2.222306E-04   3.713275E+11    6.59485E+29   9.999437602E-01  -1.383809E-01   1.073017828E+00
    52   12352.208127   1.427374E-04   2.383535E+11    3.96201E+29   9.999654340E-01  -1.374032E-01   1.073042772E+00
    53   12424.208045   9.419801E-05   1.572110E+11    2.35042E+29   9.999790516E-01  -1.364876E-01   1.073058438E+00
    54   12489.856190   6.115524E-05   1.019361E+11    1.40096E+29   9.999872699E-01  -1.356635E-01   1.073067892E+00
    55   12550.951681   4.055232E-05   6.757433E+10    8.31842E+28   9.999923063E-01  -1.349054E-01   1.073073687E+00
    56   12606.303999   2.644512E-05   4.403256E+10    4.90778E+28   9.999953861E-01  -1.342259E-01   1.073077229E+00
    57   12656.939629   1.764555E-05   2.937463E+10    2.89874E+28   9.999972339E-01  -1.336103E-01   1.073079354E+00
    58   12702.193858   1.155636E-05   1.922626E+10    1.71550E+28   9.999983402E-01  -1.330649E-01   1.073080626E+00
    59   12743.454611   7.487750E-06   1.245530E+10    1.01788E+28   9.999990022E-01  -1.325716E-01   1.073081387E+00
    60   12781.532077   5.027744E-06   8.359744E+09    5.97881E+27   9.999994062E-01  -1.321195E-01   1.073081851E+00
    61   12815.088731   3.352699E-06   5.572803E+09    3.51377E+27   9.999996462E-01  -1.317237E-01   1.073082127E+00
    62   12844.854565   2.228160E-06   3.701987E+09    2.07271E+27   9.999997880E-01  -1.313746E-01   1.073082290E+00
    63   12871.429709   1.496400E-06   2.485875E+09    1.21653E+27   9.999998731E-01  -1.310645E-01   1.073082388E+00
    64   12894.770329   1.005427E-06   1.669741E+09    7.13777E+26   9.999999235E-01  -1.307933E-01   1.073082446E+00
    65   12915.245244   6.384873E-07   1.060092E+09    4.20944E+26   9.999999530E-01  -1.305564E-01   1.073082480E+00
    66   12934.334481   4.294785E-07   7.129784E+08    2.46804E+26   9.999999707E-01  -1.303362E-01   1.073082500E+00
    67   12951.033184   2.889787E-07   4.796990E+08    1.44671E+26   9.999999812E-01  -1.301443E-01   1.073082512E+00
    68   12965.625616   1.939647E-07   3.220270E+08    8.47990E+25   9.999999873E-01  -1.299770E-01   1.073082519E+00
    69   12978.400452   1.284901E-07   2.132487E+08    5.03227E+25   9.999999909E-01  -1.298309E-01   1.073082524E+00
    70   12989.874845   8.673157E-08   1.439346E+08    2.94520E+25   9.999999931E-01  -1.297000E-01   1.073082526E+00
    71   12999.844909   5.869463E-08   9.738798E+07    1.72243E+25   9.999999943E-01  -1.295864E-01   1.073082527E+00
    72   13008.477921   3.974267E-08   6.592760E+07    1.00680E+25   9.999999951E-01  -1.294883E-01   1.073082528E+00
    73   13015.943741   2.702152E-08   4.483151E+07    5.87523E+24   9.999999955E-01  -1.294035E-01   1.073082529E+00
    74   13022.359156   1.839702E-08   3.052545E+07    3.42779E+24   9.999999958E-01  -1.293308E-01   1.073082529E+00
    75   13027.862611   1.258046E-08   2.087209E+07    1.99610E+24   9.999999959E-01  -1.292684E-01   1.073082529E+00
    76   13032.554307   8.627500E-09   1.431217E+07    1.16197E+24   9.999999960E-01  -1.292153E-01   1.073082529E+00
