       6     138      37      53

     EOS file :  Prof_BSk22_1.8.dat                                          

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.020967E-01   9.412891E+14    1.68535E+35   0.000000000E+00  -5.743228E-01   0.000000000E+00
     1     100.000001   5.020673E-01   9.412230E+14    1.68507E+35   1.982193020E-06  -5.742957E-01   1.770800018E-06
     2     116.665079   5.020581E-01   9.412024E+14    1.68499E+35   3.147508519E-06  -5.742872E-01   2.811860093E-06
     3     136.107094   5.020457E-01   9.411743E+14    1.68487E+35   4.997828510E-06  -5.742756E-01   4.464911850E-06
     4     158.788438   5.020287E-01   9.411361E+14    1.68471E+35   7.935726965E-06  -5.742599E-01   7.089652416E-06
     5     185.248334   5.020055E-01   9.410840E+14    1.68449E+35   1.260026365E-05  -5.742385E-01   1.125711506E-05
     6     216.115507   5.019740E-01   9.410133E+14    1.68420E+35   2.000578204E-05  -5.742094E-01   1.787375001E-05
     7     252.122878   5.019312E-01   9.409169E+14    1.68380E+35   3.176202874E-05  -5.741698E-01   2.837825496E-05
     8     294.124573   5.018729E-01   9.407858E+14    1.68325E+35   5.042307639E-05  -5.741160E-01   4.505369099E-05
     9     343.115567   5.017935E-01   9.406074E+14    1.68250E+35   8.004006499E-05  -5.740427E-01   7.152215369E-05
    10     400.254280   5.016855E-01   9.403648E+14    1.68149E+35   1.270360540E-04  -5.739429E-01   1.135282262E-04
    11     466.888413   5.015387E-01   9.400346E+14    1.68012E+35   2.015890447E-04  -5.738072E-01   1.801786159E-04
    12     544.584276   5.013389E-01   9.395857E+14    1.67825E+35   3.198147921E-04  -5.736227E-01   2.859010443E-04
    13     635.159715   5.010673E-01   9.389753E+14    1.67571E+35   5.072042534E-04  -5.733719E-01   4.535342025E-04
    14     740.720484   5.006982E-01   9.381457E+14    1.67226E+35   8.040203334E-04  -5.730311E-01   7.191899978E-04
    15     863.699473   5.001967E-01   9.370190E+14    1.66758E+35   1.273735316E-03  -5.725681E-01   1.139879128E-03
    16    1006.897443   4.995160E-01   9.354906E+14    1.66124E+35   2.016146589E-03  -5.719399E-01   1.805415792E-03
    17    1173.522534   4.985942E-01   9.334308E+14    1.65266E+35   3.187610489E-03  -5.710883E-01   2.856886469E-03
    18    1367.222516   4.973457E-01   9.306417E+14    1.64110E+35   5.031875227E-03  -5.699356E-01   4.515031544E-03
    19    1592.108813   4.956572E-01   9.268720E+14    1.62554E+35   7.926415007E-03  -5.683783E-01   7.123394748E-03
    20    1852.750713   4.933791E-01   9.217900E+14    1.60469E+35   1.245045861E-02  -5.662801E-01   1.121271739E-02
    21    2154.127676   4.903156E-01   9.149667E+14    1.57693E+35   1.948174536E-02  -5.634633E-01   1.759474066E-02
    22    2501.509551   4.862193E-01   9.058934E+14    1.54023E+35   3.032792062E-02  -5.597002E-01   2.749398218E-02
    23    2900.214784   4.807654E-01   8.938468E+14    1.49221E+35   4.689030570E-02  -5.547056E-01   4.272203695E-02
    24    3355.249224   4.735657E-01   8.780404E+14    1.43021E+35   7.184497872E-02  -5.481341E-01   6.589002855E-02
    25    3870.673934   4.641586E-01   8.575495E+14    1.35157E+35   1.087844209E-01  -5.395876E-01   1.006218079E-01
    26    4448.735215   4.520308E-01   8.313919E+14    1.25412E+35   1.622141514E-01  -5.286413E-01   1.516832595E-01
    27    5088.708157   4.366596E-01   7.986356E+14    1.13689E+35   2.372266982E-01  -5.148977E-01   2.248588123E-01
    28    5785.547340   4.175988E-01   7.586239E+14    1.00106E+35   3.386398985E-01  -4.980779E-01   3.263218947E-01
    29    6528.537762   3.945965E-01   7.112217E+14    8.50787E+34   4.694793435E-01  -4.781465E-01   4.612291413E-01
    30    7300.405825   3.677180E-01   6.569881E+14    6.93533E+34   6.290024076E-01  -4.554486E-01   6.314788949E-01
    31    8077.567002   3.374655E-01   5.973670E+14    5.39229E+34   8.110443570E-01  -4.308005E-01   8.331767460E-01
    32    8831.935548   3.047870E-01   5.345367E+14    3.98297E+34   1.003807688E+00  -4.054633E-01   1.055091865E+00
    33    9534.514350   2.709703E-01   4.711008E+14    2.79032E+34   1.191977125E+00  -3.809489E-01   1.279758119E+00
    34   10159.983685   2.374126E-01   4.095997E+14    1.85612E+34   1.360694216E+00  -3.586945E-01   1.487741730E+00
    35   10690.975837   2.053415E-01   3.520190E+14    1.17691E+34   1.499582755E+00  -3.397361E-01   1.663405296E+00
    36   11120.706162   1.756311E-01   2.995858E+14    7.15714E+33   1.604870912E+00  -3.245237E-01   1.799095511E+00
    37   11452.999685   1.487354E-01   2.527623E+14    4.20690E+33   1.678838222E+00  -3.129449E-01   1.895619702E+00
    38   11699.871609   1.247479E-01   2.114259E+14    2.41043E+33   1.727452639E+00  -3.045023E-01   1.959540502E+00
    39   11877.645262   1.035739E-01   1.752039E+14    1.35738E+33   1.757706521E+00  -2.985337E-01   1.999484560E+00
    40   12003.052333   8.526810E-02   1.440433E+14    7.56049E+32   1.775785435E+00  -2.943915E-01   2.023402084E+00
    41   12090.355423   6.250989E-02   1.055673E+14    4.32116E+32   1.785853974E+00  -2.915467E-01   2.036722063E+00
    42   12159.737708   4.470653E-02   7.538535E+13    2.49934E+32   1.791665243E+00  -2.893125E-01   2.044414378E+00
    43   12216.803243   3.145702E-02   5.298904E+13    1.45109E+32   1.795083700E+00  -2.874949E-01   2.048940455E+00
    44   12264.545995   2.211359E-02   3.721167E+13    8.41278E+31   1.797110653E+00  -2.859891E-01   2.051624032E+00
    45   12304.391064   1.548822E-02   2.603944E+13    4.87613E+31   1.798305580E+00  -2.847432E-01   2.053205971E+00
    46   12337.697108   1.083484E-02   1.820037E+13    2.82558E+31   1.799008103E+00  -2.837096E-01   2.054135952E+00
    47   12365.522209   7.531862E-03   1.264462E+13    1.63748E+31   1.799419963E+00  -2.828515E-01   2.054681155E+00
    48   12388.881755   5.154939E-03   8.651243E+12    9.52742E+30   1.799659689E+00  -2.821352E-01   2.054998381E+00
    49   12408.853860   3.379724E-03   5.668879E+12    5.61071E+30   1.799797966E+00  -2.815255E-01   2.055181331E+00
    50   12426.884753   2.054077E-03   3.443691E+12    3.40780E+30   1.799876303E+00  -2.809774E-01   2.055284973E+00
    51   12444.984640   1.158387E-03   1.940662E+12    2.08233E+30   1.799923760E+00  -2.804294E-01   2.055347757E+00
    52   12464.687101   6.318726E-04   1.057445E+12    1.31258E+30   1.799951512E+00  -2.798353E-01   2.055384486E+00
    53   12487.574520   3.715565E-04   6.215550E+11    8.09200E+29   1.799969806E+00  -2.791484E-01   2.055408702E+00
    54   12511.699311   1.872121E-04   3.127691E+11    5.48588E+29   1.799979356E+00  -2.784281E-01   2.055421349E+00
    55   12544.357582   1.216382E-04   2.031199E+11    3.26265E+29   1.799987592E+00  -2.774590E-01   2.055432255E+00
    56   12574.485170   7.959939E-05   1.327870E+11    1.92441E+29   1.799992610E+00  -2.765712E-01   2.055438897E+00
    57   12601.851594   5.166894E-05   8.611059E+10    1.14392E+29   1.799995569E+00  -2.757697E-01   2.055442815E+00
    58   12627.089708   3.459499E-05   5.763723E+10    6.72901E+28   1.799997372E+00  -2.750348E-01   2.055445202E+00
    59   12649.395650   2.245851E-05   3.739460E+10    3.99921E+28   1.799998427E+00  -2.743886E-01   2.055446599E+00
    60   12669.929923   1.498442E-05   2.493579E+10    2.34969E+28   1.799999070E+00  -2.737965E-01   2.055447449E+00
    61   12688.105383   9.799904E-06   1.629897E+10    1.39513E+28   1.799999445E+00  -2.732746E-01   2.055447945E+00
    62   12704.681866   6.434928E-06   1.070507E+10    8.31383E+27   1.799999667E+00  -2.728003E-01   2.055448239E+00
    63   12719.776908   4.318372E-06   7.179468E+09    4.87924E+27   1.799999804E+00  -2.723699E-01   2.055448420E+00
    64   12733.030534   2.863296E-06   4.758339E+09    2.87223E+27   1.799999884E+00  -2.719932E-01   2.055448526E+00
    65   12744.836636   1.913331E-06   3.178774E+09    1.69047E+27   1.799999932E+00  -2.716585E-01   2.055448589E+00
    66   12755.265099   1.284645E-06   2.133849E+09    9.91452E+26   1.799999960E+00  -2.713636E-01   2.055448626E+00
    67   12764.397403   8.628115E-07   1.433141E+09    5.81325E+26   1.799999976E+00  -2.711058E-01   2.055448648E+00
    68   12772.386112   5.530298E-07   9.181670E+08    3.46918E+26   1.799999986E+00  -2.708808E-01   2.055448661E+00
    69   12779.840362   3.718852E-07   6.173333E+08    2.03290E+26   1.799999992E+00  -2.706711E-01   2.055448668E+00
    70   12786.347763   2.502433E-07   4.154299E+08    1.19098E+26   1.799999995E+00  -2.704883E-01   2.055448673E+00
    71   12792.021110   1.644939E-07   2.730288E+08    6.99293E+25   1.799999997E+00  -2.703292E-01   2.055448676E+00
    72   12797.095942   1.106104E-07   1.835701E+08    4.10270E+25   1.799999998E+00  -2.701870E-01   2.055448677E+00
    73   12801.529199   7.468772E-08   1.239412E+08    2.40025E+25   1.799999999E+00  -2.700630E-01   2.055448678E+00
    74   12805.374388   5.056515E-08   8.389216E+07    1.40274E+25   1.799999999E+00  -2.699554E-01   2.055448679E+00
    75   12808.697156   3.429684E-08   5.689689E+07    8.19572E+24   1.800000000E+00  -2.698626E-01   2.055448679E+00
    76   12811.561732   2.331538E-08   3.868480E+07    4.78165E+24   1.800000000E+00  -2.697826E-01   2.055448679E+00
