       6     152      52      67
 
     EOS file :  /Users/dany/Work/NStar/EOS/v14/APR_EOS_Cat.dat              
 
  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   
 
     0       0.000000   5.743321E-01   1.055992E+15    1.74343E+35   0.000000000E+00  -5.193295E-01   0.000000000E+00
     1      10.000000   5.743318E-01   1.055992E+15    1.74343E+35   2.223894975E-09  -5.193292E-01   2.025646277E-09
     2      11.666665   5.743317E-01   1.055991E+15    1.74343E+35   3.531461047E-09  -5.193291E-01   3.216649880E-09
     3      13.611106   5.743315E-01   1.055991E+15    1.74343E+35   5.607825501E-09  -5.193290E-01   5.107917968E-09
     4      15.879620   5.743314E-01   1.055991E+15    1.74343E+35   8.905010943E-09  -5.193288E-01   8.111178360E-09
     5      18.526217   5.743311E-01   1.055990E+15    1.74342E+35   1.414080977E-08  -5.193286E-01   1.288023753E-08
     6      21.613911   5.743308E-01   1.055989E+15    1.74342E+35   2.245504380E-08  -5.193283E-01   2.045331150E-08
     7      25.216214   5.743303E-01   1.055988E+15    1.74341E+35   3.565769498E-08  -5.193278E-01   3.247903929E-08
     8      29.418893   5.743297E-01   1.055987E+15    1.74341E+35   5.662291984E-08  -5.193272E-01   5.157537791E-08
     9      34.322005   5.743288E-01   1.055985E+15    1.74340E+35   8.991471243E-08  -5.193264E-01   8.189950134E-08
    10      40.042281   5.743276E-01   1.055983E+15    1.74339E+35   1.427803965E-07  -5.193253E-01   1.300527512E-07
    11      46.715901   5.743260E-01   1.055979E+15    1.74337E+35   2.267281732E-07  -5.193239E-01   2.065176042E-07
    12      54.501736   5.743238E-01   1.055974E+15    1.74335E+35   3.600320333E-07  -5.193219E-01   3.279393936E-07
    13      63.585123   5.743208E-01   1.055968E+15    1.74332E+35   5.717090872E-07  -5.193191E-01   5.207493148E-07
    14      74.182270   5.743168E-01   1.055959E+15    1.74327E+35   9.078345989E-07  -5.193154E-01   8.269170166E-07
    15      86.545389   5.743112E-01   1.055947E+15    1.74322E+35   1.441568260E-06  -5.193103E-01   1.313084184E-06
    16     100.968679   5.743037E-01   1.055931E+15    1.74314E+35   2.289071721E-06  -5.193034E-01   2.085065483E-06
    17     117.795296   5.742935E-01   1.055909E+15    1.74303E+35   3.634776793E-06  -5.192940E-01   3.310869373E-06
    18     137.425470   5.742796E-01   1.055878E+15    1.74289E+35   5.771492574E-06  -5.192811E-01   5.257241008E-06
    19     160.325944   5.742606E-01   1.055837E+15    1.74269E+35   9.164055554E-06  -5.192637E-01   8.347662283E-06
    20     187.040946   5.742348E-01   1.055781E+15    1.74243E+35   1.455032038E-05  -5.192400E-01   1.325439169E-05
    21     218.204929   5.741997E-01   1.055705E+15    1.74206E+35   2.310134963E-05  -5.192076E-01   2.104448613E-05
    22     254.557321   5.741519E-01   1.055601E+15    1.74157E+35   3.667540093E-05  -5.191637E-01   3.341138845E-05
    23     296.959573   5.740869E-01   1.055460E+15    1.74090E+35   5.822041068E-05  -5.191039E-01   5.304205459E-05
    24     346.414785   5.739984E-01   1.055268E+15    1.73998E+35   9.241131421E-05  -5.190225E-01   8.419858764E-05
    25     404.090179   5.738780E-01   1.055007E+15    1.73874E+35   1.466581844E-04  -5.189118E-01   1.336389382E-04
    26     471.342668   5.737143E-01   1.054652E+15    1.73705E+35   2.326987091E-04  -5.187612E-01   2.120726603E-04
    27     549.747632   5.734915E-01   1.054169E+15    1.73475E+35   3.691088813E-04  -5.185565E-01   3.364590635E-04
    28     641.130839   5.731887E-01   1.053512E+15    1.73163E+35   5.852509614E-04  -5.182782E-01   5.336274626E-04
    29     747.603092   5.727771E-01   1.052619E+15    1.72739E+35   9.274591822E-04  -5.179002E-01   8.459634069E-04
    30     871.596561   5.722179E-01   1.051407E+15    1.72165E+35   1.468683711E-03  -5.173871E-01   1.340303982E-03
    31    1015.900761   5.714588E-01   1.049761E+15    1.71387E+35   2.323423857E-03  -5.166912E-01   2.121776240E-03
    32    1183.694565   5.704293E-01   1.047530E+15    1.70337E+35   3.670632986E-03  -5.157487E-01   3.355160939E-03
    33    1378.568138   5.690356E-01   1.044514E+15    1.68921E+35   5.788390692E-03  -5.144744E-01   5.297523905E-03
    34    1604.523935   5.671517E-01   1.040441E+15    1.67020E+35   9.105398931E-03  -5.127557E-01   8.347299732E-03
    35    1865.944308   5.646102E-01   1.034949E+15    1.64479E+35   1.427541454E-02  -5.104452E-01   1.311657707E-02
    36    2167.499830   5.611922E-01   1.027571E+15    1.61105E+35   2.228061460E-02  -5.073526E-01   2.053425475E-02
    37    2513.965773   5.566184E-01   1.017790E+15    1.56664E+35   3.456676166E-02  -5.032377E-01   3.198643548E-02
    38    2909.874325   5.505292E-01   1.004826E+15    1.50885E+35   5.320094654E-02  -4.978061E-01   4.949202234E-02
    39    3359.039186   5.424811E-01   9.877616E+14    1.43480E+35   8.102034321E-02  -4.907121E-01   7.589682982E-02
    40    3863.786502   5.319481E-01   9.656123E+14    1.34182E+35   1.216973567E-01  -4.815768E-01   1.150248670E-01
    41    4423.883890   5.183528E-01   9.373179E+14    1.22810E+35   1.795807776E-01  -4.700292E-01   1.716594324E-01
    42    5035.248668   5.010679E-01   9.018124E+14    1.09364E+35   2.591109969E-01  -4.557816E-01   2.511419607E-01
    43    5688.616117   4.795607E-01   8.583113E+14    9.41322E+34   3.636378566E-01  -4.387398E-01   3.583205951E-01
    44    6368.492354   4.534525E-01   8.064894E+14    7.77600E+34   4.936588285E-01  -4.191361E-01   4.956821934E-01
    45    7053.130096   4.226912E-01   7.466520E+14    6.12375E+34   6.449967038E-01  -3.976376E-01   6.609514431E-01
    46    7716.276934   3.876294E-01   6.799301E+14    4.57326E+34   8.080311435E-01  -3.753515E-01   8.452615137E-01
    47    8330.924581   3.490440E-01   6.080916E+14    3.23052E+34   9.691130041E-01  -3.536632E-01   1.033587177E+00
    48    8874.536804   2.998161E-01   5.182980E+14    2.16585E+34   1.113596479E+00  -3.339096E-01   1.207684407E+00
    49    9347.551014   2.599005E-01   4.467733E+14    1.38037E+34   1.233417858E+00  -3.165620E-01   1.355794673E+00
    50    9730.987197   2.209952E-01   3.781356E+14    8.44352E+33   1.324457562E+00  -3.025720E-01   1.470372045E+00
    51   10030.643101   1.668595E-01   2.837686E+14    5.31124E+33   1.382748666E+00  -2.918148E-01   1.544737123E+00
    52   10297.900469   1.385878E-01   2.350056E+14    3.08253E+33   1.428062782E+00  -2.824593E-01   1.602940690E+00
    53   10496.813500   1.139352E-01   1.927673E+14    1.75601E+33   1.457172023E+00  -2.756714E-01   1.640469453E+00
    54   10641.497841   9.221492E-02   1.557386E+14    9.89188E+32   1.475021529E+00  -2.708429E-01   1.663526557E+00
    55   10745.919273   7.257040E-02   1.226477E+14    5.52960E+32   1.485639805E+00  -2.674222E-01   1.677239589E+00
    56   10821.941253   5.214295E-02   8.798087E+13    3.20234E+32   1.491496757E+00  -2.649692E-01   1.684799738E+00
    57   10884.451473   3.687872E-02   6.215080E+13    1.85574E+32   1.494977721E+00  -2.629784E-01   1.689294537E+00
    58   10936.520814   2.593961E-02   4.367033E+13    1.07682E+32   1.497037976E+00  -2.613393E-01   1.691954532E+00
    59   10980.077180   1.820605E-02   3.062064E+13    6.24160E+31   1.498259000E+00  -2.599822E-01   1.693530831E+00
    60   11016.475372   1.274044E-02   2.140972E+13    3.61871E+31   1.498978426E+00  -2.588583E-01   1.694459472E+00
    61   11046.931975   8.912071E-03   1.496348E+13    2.09672E+31   1.499401825E+00  -2.579249E-01   1.695005973E+00
    62   11072.373801   6.161017E-03   1.034179E+13    1.21895E+31   1.499648924E+00  -2.571503E-01   1.695324851E+00
    63   11093.910724   4.149804E-03   6.962258E+12    7.13785E+30   1.499792559E+00  -2.564981E-01   1.695510151E+00
    64   11112.743940   2.574275E-03   4.316751E+12    4.27207E+30   1.499874738E+00  -2.559305E-01   1.695616163E+00
    65   11131.006596   1.558278E-03   2.611754E+12    2.59767E+30   1.499923126E+00  -2.553826E-01   1.695678581E+00
    66   11149.440987   8.419343E-04   1.409805E+12    1.63937E+30   1.499951027E+00  -2.548318E-01   1.695714578E+00
    67   11171.084427   4.786824E-04   8.009063E+11    1.02806E+30   1.499968971E+00  -2.541883E-01   1.695737740E+00
    68   11195.096521   2.163666E-04   3.615289E+11    6.41645E+29   1.499980419E+00  -2.534783E-01   1.695752514E+00
    69   11228.468929   1.391473E-04   2.323599E+11    3.84184E+29   1.499988136E+00  -2.524981E-01   1.695762478E+00
    70   11259.809594   9.158361E-05   1.528378E+11    2.27356E+29   1.499992901E+00  -2.515846E-01   1.695768630E+00
    71   11288.221503   5.940230E-05   9.901159E+10    1.35281E+29   1.499995734E+00  -2.507623E-01   1.695772287E+00
    72   11314.496157   3.942101E-05   6.568789E+10    8.01051E+28   1.499997451E+00  -2.500067E-01   1.695774503E+00
    73   11338.095883   2.552959E-05   4.250397E+10    4.72270E+28   1.499998485E+00  -2.493320E-01   1.695775838E+00
    74   11359.720109   1.709081E-05   2.844832E+10    2.77760E+28   1.499999102E+00  -2.487171E-01   1.695776634E+00
    75   11378.820728   1.117899E-05   1.859708E+10    1.64489E+28   1.499999465E+00  -2.481764E-01   1.695777102E+00
    76   11396.202691   7.255859E-06   1.206982E+10    9.76000E+27   1.499999680E+00  -2.476865E-01   1.695777381E+00
