       6     122      53      68

     EOS file :  /Users/dany/Work/NStar/eos/v14/APR_EOS_Acc_Fe.dat           

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   6.828561E-01   1.304702E+15    3.13904E+35   0.000000000E+00  -7.025992E-01   0.000000000E+00
     1      10.000000   6.828557E-01   1.304701E+15    3.13904E+35   2.747672173E-09  -7.025988E-01   2.408406315E-09
     2      11.666665   6.828556E-01   1.304701E+15    3.13904E+35   4.363199283E-09  -7.025987E-01   3.824458359E-09
     3      13.611106   6.828554E-01   1.304701E+15    3.13903E+35   6.928593828E-09  -7.025985E-01   6.073094741E-09
     4      15.879620   6.828552E-01   1.304700E+15    3.13903E+35   1.100233958E-08  -7.025983E-01   9.643842105E-09
     5      18.526217   6.828549E-01   1.304699E+15    3.13903E+35   1.747128447E-08  -7.025979E-01   1.531404818E-08
     6      21.613910   6.828544E-01   1.304698E+15    3.13902E+35   2.774370240E-08  -7.025975E-01   2.431810707E-08
     7      25.216213   6.828539E-01   1.304697E+15    3.13901E+35   4.405586330E-08  -7.025969E-01   3.861617943E-08
     8      29.418891   6.828530E-01   1.304695E+15    3.13900E+35   6.995884466E-08  -7.025960E-01   6.132090307E-08
     9      34.322001   6.828519E-01   1.304692E+15    3.13898E+35   1.110915474E-07  -7.025949E-01   9.737497802E-08
    10      40.042274   6.828504E-01   1.304689E+15    3.13896E+35   1.764081672E-07  -7.025933E-01   1.546271132E-07
    11      46.715890   6.828484E-01   1.304684E+15    3.13892E+35   2.801272680E-07  -7.025912E-01   2.455405179E-07
    12      54.501718   6.828456E-01   1.304677E+15    3.13888E+35   4.448266089E-07  -7.025883E-01   3.899057667E-07
    13      63.585095   6.828419E-01   1.304668E+15    3.13882E+35   7.063571191E-07  -7.025843E-01   6.191483915E-07
    14      74.182225   6.828367E-01   1.304655E+15    3.13874E+35   1.121645038E-06  -7.025790E-01   9.831684501E-07
    15      86.545317   6.828297E-01   1.304638E+15    3.13863E+35   1.781079109E-06  -7.025717E-01   1.561199933E-06
    16     100.968564   6.828202E-01   1.304615E+15    3.13849E+35   2.828175989E-06  -7.025617E-01   2.479051697E-06
    17     117.795114   6.828073E-01   1.304584E+15    3.13829E+35   4.490797378E-06  -7.025482E-01   3.936478077E-06
    18     137.425181   6.827896E-01   1.304541E+15    3.13801E+35   7.130698319E-06  -7.025298E-01   6.250626513E-06
    19     160.325483   6.827656E-01   1.304483E+15    3.13764E+35   1.132215761E-05  -7.025048E-01   9.924996445E-06
    20     187.040214   6.827330E-01   1.304404E+15    3.13713E+35   1.797673102E-05  -7.024707E-01   1.575886931E-05
    21     218.203766   6.826885E-01   1.304297E+15    3.13644E+35   2.854111934E-05  -7.024243E-01   2.502091905E-05
    22     254.555474   6.826280E-01   1.304151E+15    3.13550E+35   4.531086722E-05  -7.023611E-01   3.972455317E-05
    23     296.956640   6.825457E-01   1.303952E+15    3.13423E+35   7.192740805E-05  -7.022752E-01   6.306439670E-05
    24     346.410128   6.824337E-01   1.303681E+15    3.13249E+35   1.141649851E-04  -7.021584E-01   1.001077995E-04
    25     404.082790   6.822813E-01   1.303313E+15    3.13012E+35   1.811751479E-04  -7.019994E-01   1.588894443E-04
    26     471.330950   6.820740E-01   1.302811E+15    3.12691E+35   2.874519664E-04  -7.017832E-01   2.521420392E-04
    27     549.729056   6.817922E-01   1.302130E+15    3.12255E+35   4.559290463E-04  -7.014892E-01   4.000284300E-04
    28     641.101413   6.814090E-01   1.301204E+15    3.11662E+35   7.228466115E-04  -7.010897E-01   6.344453143E-04
    29     747.556525   6.808882E-01   1.299946E+15    3.10858E+35   1.145371192E-03  -7.005471E-01   1.005782675E-03
    30     871.522960   6.801810E-01   1.298237E+15    3.09768E+35   1.813462260E-03  -6.998106E-01   1.593497402E-03
    31    1015.784631   6.792222E-01   1.295930E+15    3.08294E+35   2.868223263E-03  -6.988119E-01   2.522562280E-03
    32    1183.510606   6.779228E-01   1.292807E+15    3.06303E+35   4.529982090E-03  -6.974596E-01   3.988847476E-03
    33    1378.276920   6.761638E-01   1.288582E+15    3.03623E+35   7.140677656E-03  -6.956319E-01   6.297900475E-03
    34    1604.065977   6.737874E-01   1.282879E+15    3.00028E+35   1.122657320E-02  -6.931678E-01   9.923283050E-03
    35    1865.229945   6.705853E-01   1.275202E+15    2.95231E+35   1.758839653E-02  -6.898570E-01   1.559248219E-02
    36    2166.395512   6.662882E-01   1.264955E+15    2.88876E+35   2.742563516E-02  -6.854287E-01   2.440958723E-02
    37    2512.267218   6.605462E-01   1.251298E+15    2.80535E+35   4.249618876E-02  -6.795421E-01   3.802202177E-02
    38    2907.322067   6.529301E-01   1.233377E+15    2.69721E+35   6.530141945E-02  -6.717806E-01   5.883233793E-02
    39    3355.251263   6.429049E-01   1.210031E+15    2.55932E+35   9.925049208E-02  -6.616585E-01   9.022876280E-02
    40    3858.245560   6.298602E-01   1.179881E+15    2.38720E+35   1.487152108E-01  -6.486464E-01   1.367737863E-01
    41    4416.028222   6.131134E-01   1.141828E+15    2.17821E+35   2.188130603E-01  -6.322290E-01   2.042099944E-01
    42    5024.497710   5.920026E-01   1.094720E+15    1.93320E+35   3.146816402E-01  -6.120122E-01   2.990159814E-01
    43    5674.552630   5.659567E-01   1.037858E+15    1.65822E+35   4.400850265E-01  -5.878713E-01   4.272393648E-01
    44    6351.148452   5.346752E-01   9.713309E+14    1.36547E+35   5.954120543E-01  -5.601287E-01   5.923675040E-01
    45    7033.222481   4.982406E-01   8.960545E+14    1.07269E+35   7.756542849E-01  -5.297000E-01   7.924938695E-01
    46    7695.278484   4.572405E-01   8.139447E+14    7.99970E+34   9.696365241E-01  -4.981072E-01   1.017951309E+00
    47    8310.762755   4.127442E-01   7.275713E+14    5.64946E+34   1.161644220E+00  -4.672735E-01   1.251346085E+00
    48    8856.849568   3.661277E-01   6.397115E+14    3.78138E+34   1.335522603E+00  -4.390980E-01   1.471449848E+00
    49    9318.995282   3.101542E-01   5.370398E+14    2.41587E+34   1.478764337E+00  -4.149731E-01   1.658978309E+00
    50    9704.861301   2.656970E-01   4.570879E+14    1.47837E+34   1.588540466E+00  -3.949303E-01   1.806499580E+00
    51   10006.384537   2.237148E-01   3.829071E+14    8.75758E+33   1.666384630E+00  -3.795069E-01   1.912905291E+00
    52   10234.827000   1.665249E-01   2.831889E+14    5.27985E+33   1.715084777E+00  -3.680632E-01   1.980244199E+00
    53   10431.194843   1.374071E-01   2.329792E+14    3.00740E+33   1.749333486E+00  -3.584764E-01   2.027902512E+00
    54   10574.175396   1.124341E-01   1.902008E+14    1.69102E+33   1.770461413E+00  -3.516668E-01   2.057371672E+00
    55   10676.449057   9.060754E-02   1.530036E+14    9.44683E+32   1.783022827E+00  -3.468943E-01   2.074909983E+00
    56   10749.465477   6.622742E-02   1.115197E+14    5.43669E+32   1.790011664E+00  -3.435420E-01   2.084676439E+00
    57   10808.257750   4.821344E-02   8.095404E+13    3.12534E+32   1.794151396E+00  -3.408794E-01   2.090469317E+00
    58   10855.571183   3.505915E-02   5.869806E+13    1.79305E+32   1.796592666E+00  -3.387620E-01   2.093890123E+00
    59   10893.502684   2.547301E-02   4.252569E+13    1.02724E+32   1.798022593E+00  -3.370815E-01   2.095896780E+00
    60   10923.818301   1.803867E-02   3.006823E+13    5.89514E+31   1.798852511E+00  -3.357496E-01   2.097063145E+00
    61   10948.633684   1.222995E-02   2.038270E+13    3.44765E+31   1.799322341E+00  -3.346668E-01   2.097723025E+00
    62   10970.190270   8.182986E-03   1.363831E+13    2.02539E+31   1.799598241E+00  -3.337318E-01   2.098110260E+00
    63   10989.229701   5.276239E-03   8.793660E+12    1.19823E+31   1.799760180E+00  -3.329104E-01   2.098337344E+00
    64   11006.790209   3.433199E-03   5.722666E+12    7.14264E+30   1.799855717E+00  -3.321563E-01   2.098471219E+00
    65   11022.952781   1.920283E-03   3.200353E+12    4.53019E+30   1.799907670E+00  -3.314654E-01   2.098543960E+00
    66   11041.358671   1.135451E-03   1.891451E+12    2.82009E+30   1.799941934E+00  -3.306822E-01   2.098591897E+00
    67   11060.838942   5.232783E-04   8.721306E+11    1.90666E+30   1.799960380E+00  -3.298574E-01   2.098617691E+00
    68   11089.528808   3.210355E-04   5.350591E+11    1.16329E+30   1.799975549E+00  -3.286504E-01   2.098638878E+00
    69   11118.278173   2.068545E-04   3.447574E+11    6.93410E+29   1.799985263E+00  -3.274500E-01   2.098652428E+00
    70   11145.081279   1.338278E-04   2.230463E+11    4.13073E+29   1.799991131E+00  -3.263391E-01   2.098660605E+00
    71   11169.939698   8.735879E-05   1.455980E+11    2.45023E+29   1.799994689E+00  -3.253156E-01   2.098665558E+00
    72   11192.680061   5.701764E-05   9.502940E+10    1.45316E+29   1.799996824E+00  -3.243852E-01   2.098668526E+00
    73   11213.469929   3.750168E-05   6.250280E+10    8.60806E+28   1.799998104E+00  -3.235394E-01   2.098670305E+00
    74   11232.298631   2.477280E-05   4.128799E+10    5.08191E+28   1.799998873E+00  -3.227773E-01   2.098671372E+00
    75   11249.211097   1.636249E-05   2.727081E+10    2.99974E+28   1.799999331E+00  -3.220959E-01   2.098672007E+00
    76   11264.393902   1.080634E-05   1.801057E+10    1.77045E+28   1.799999603E+00  -3.214868E-01   2.098672385E+00
