          5        1050

                COND. CRYSTAL PARAMETERS

        Rho         A       Z        IS171      IS5000       IK171      IK5000
     9.550E+04      56      26      0.4813      1.6692      2.3804      3.9228
     9.772E+04      56      26      0.4813      1.6690      2.3830      3.9252
     1.000E+05      56      26      0.4814      1.6687      2.3857      3.9276
     1.023E+05      56      26      0.4814      1.6685      2.3883      3.9300
     1.047E+05      56      26      0.4815      1.6682      2.3910      3.9324
     1.072E+05      56      26      0.4815      1.6680      2.3936      3.9348
     1.096E+05      56      26      0.4815      1.6677      2.3962      3.9372
     1.122E+05      56      26      0.4816      1.6674      2.3989      3.9396
     1.148E+05      56      26      0.4816      1.6672      2.4015      3.9420
     1.175E+05      56      26      0.4816      1.6669      2.4042      3.9444
     1.202E+05      56      26      0.4817      1.6667      2.4068      3.9468
     1.230E+05      56      26      0.4817      1.6664      2.4095      3.9492
     1.259E+05      56      26      0.4818      1.6662      2.4121      3.9516
     1.288E+05      56      26      0.4818      1.6659      2.4147      3.9540
     1.318E+05      56      26      0.4818      1.6656      2.4174      3.9564
     1.349E+05      56      26      0.4819      1.6654      2.4200      3.9588
     1.380E+05      56      26      0.4819      1.6651      2.4227      3.9612
     1.413E+05      56      26      0.4819      1.6649      2.4253      3.9636
     1.445E+05      56      26      0.4820      1.6646      2.4279      3.9660
     1.479E+05      56      26      0.4820      1.6644      2.4306      3.9684
     1.514E+05      56      26      0.4821      1.6641      2.4332      3.9708
     1.549E+05      56      26      0.4821      1.6638      2.4359      3.9732
     1.585E+05      56      26      0.4821      1.6636      2.4385      3.9756
     1.622E+05      56      26      0.4822      1.6633      2.4411      3.9780
     1.660E+05      56      26      0.4822      1.6627      2.4436      3.9801
     1.698E+05      56      26      0.4820      1.6600      2.4453      3.9808
     1.738E+05      56      26      0.4818      1.6574      2.4470      3.9816
     1.778E+05      56      26      0.4817      1.6547      2.4487      3.9823
     1.820E+05      56      26      0.4815      1.6520      2.4504      3.9830
     1.862E+05      56      26      0.4814      1.6494      2.4521      3.9838
     1.905E+05      56      26      0.4812      1.6467      2.4538      3.9845
     1.950E+05      56      26      0.4810      1.6440      2.4555      3.9852
     1.995E+05      56      26      0.4809      1.6414      2.4572      3.9860
     2.042E+05      56      26      0.4807      1.6387      2.4589      3.9867
     2.089E+05      56      26      0.4805      1.6360      2.4606      3.9874
     2.138E+05      56      26      0.4804      1.6334      2.4623      3.9882
     2.188E+05      56      26      0.4802      1.6307      2.4640      3.9889
     2.239E+05      56      26      0.4800      1.6280      2.4657      3.9896
     2.291E+05      56      26      0.4799      1.6254      2.4674      3.9904
     2.344E+05      56      26      0.4797      1.6227      2.4691      3.9911
     2.399E+05      56      26      0.4795      1.6200      2.4708      3.9918
     2.455E+05      56      26      0.4794      1.6174      2.4725      3.9926
     2.512E+05      56      26      0.4792      1.6147      2.4742      3.9933
     2.570E+05      56      26      0.4790      1.6120      2.4759      3.9940
     2.630E+05      56      26      0.4789      1.6094      2.4776      3.9948
     2.692E+05      56      26      0.4787      1.6067      2.4793      3.9955
     2.754E+05      56      26      0.4785      1.6040      2.4810      3.9962
     2.818E+05      56      26      0.4784      1.6014      2.4827      3.9969
     2.884E+05      56      26      0.4782      1.5987      2.4844      3.9977
     2.951E+05      56      26      0.4781      1.5960      2.4861      3.9984
     3.020E+05      56      26      0.4779      1.5934      2.4878      3.9991
     3.090E+05      56      26      0.4777      1.5907      2.4895      3.9999
     3.162E+05      56      26      0.4776      1.5880      2.4912      4.0006
     3.236E+05      56      26      0.4774      1.5854      2.4929      4.0013
     3.311E+05      56      26      0.4772      1.5827      2.4946      4.0021
     3.388E+05      56      26      0.4771      1.5800      2.4963      4.0028
     3.467E+05      56      26      0.4769      1.5774      2.4980      4.0035
     3.548E+05      56      26      0.4767      1.5747      2.4997      4.0043
     3.631E+05      56      26      0.4766      1.5720      2.5014      4.0050
     3.715E+05      56      26      0.4764      1.5694      2.5031      4.0057
     3.802E+05      56      26      0.4762      1.5667      2.5048      4.0065
     3.890E+05      56      26      0.4761      1.5640      2.5065      4.0072
     3.981E+05      56      26      0.4759      1.5614      2.5082      4.0079
     4.074E+05      56      26      0.4757      1.5587      2.5099      4.0087
     4.169E+05      56      26      0.4756      1.5560      2.5115      4.0092
     4.266E+05      56      26      0.4752      1.5532      2.5123      4.0083
     4.365E+05      56      26      0.4748      1.5504      2.5131      4.0075
     4.467E+05      56      26      0.4745      1.5476      2.5139      4.0066
     4.571E+05      56      26      0.4741      1.5448      2.5147      4.0058
     4.677E+05      56      26      0.4738      1.5420      2.5156      4.0049
     4.786E+05      56      26      0.4734      1.5392      2.5164      4.0041
     4.898E+05      56      26      0.4731      1.5364      2.5172      4.0032
     5.012E+05      56      26      0.4727      1.5335      2.5180      4.0024
     5.129E+05      56      26      0.4724      1.5307      2.5188      4.0015
     5.248E+05      56      26      0.4720      1.5279      2.5196      4.0007
     5.370E+05      56      26      0.4716      1.5251      2.5204      3.9998
     5.495E+05      56      26      0.4713      1.5223      2.5212      3.9990
     5.623E+05      56      26      0.4709      1.5195      2.5220      3.9981
     5.754E+05      56      26      0.4706      1.5167      2.5228      3.9973
     5.888E+05      56      26      0.4702      1.5139      2.5237      3.9964
     6.026E+05      56      26      0.4699      1.5111      2.5245      3.9956
     6.166E+05      56      26      0.4695      1.5083      2.5253      3.9947
     6.310E+05      56      26      0.4692      1.5055      2.5261      3.9939
     6.457E+05      56      26      0.4688      1.5026      2.5269      3.9930
     6.607E+05      56      26      0.4685      1.4998      2.5277      3.9922
     6.761E+05      56      26      0.4681      1.4970      2.5285      3.9913
     6.918E+05      56      26      0.4677      1.4942      2.5293      3.9905
     7.079E+05      56      26      0.4674      1.4914      2.5301      3.9896
     7.244E+05      56      26      0.4670      1.4886      2.5309      3.9888
     7.413E+05      56      26      0.4667      1.4858      2.5318      3.9879
     7.586E+05      56      26      0.4663      1.4830      2.5326      3.9871
     7.762E+05      56      26      0.4660      1.4802      2.5334      3.9862
     7.943E+05      56      26      0.4656      1.4774      2.5342      3.9854
     8.128E+05      56      26      0.4653      1.4745      2.5350      3.9845
     8.318E+05      56      26      0.4649      1.4717      2.5358      3.9837
     8.511E+05      56      26      0.4645      1.4689      2.5366      3.9828
     8.710E+05      56      26      0.4642      1.4661      2.5374      3.9820
     8.913E+05      56      26      0.4638      1.4633      2.5382      3.9811
     9.120E+05      56      26      0.4635      1.4605      2.5390      3.9803
     9.333E+05      56      26      0.4631      1.4577      2.5399      3.9794
     9.550E+05      56      26      0.4628      1.4549      2.5407      3.9786
     9.772E+05      56      26      0.4624      1.4521      2.5415      3.9777
     1.000E+06      56      26      0.4621      1.4493      2.5423      3.9769
     1.023E+06      56      26      0.4617      1.4464      2.5431      3.9760
     1.047E+06      56      26      0.4613      1.4436      2.5438      3.9750
     1.072E+06      56      26      0.4609      1.4402      2.5439      3.9731
     1.096E+06      56      26      0.4604      1.4369      2.5441      3.9711
     1.122E+06      56      26      0.4599      1.4335      2.5442      3.9691
     1.148E+06      56      26      0.4594      1.4302      2.5443      3.9671
     1.175E+06      56      26      0.4590      1.4268      2.5444      3.9652
     1.202E+06      56      26      0.4585      1.4235      2.5445      3.9632
     1.230E+06      56      26      0.4580      1.4201      2.5447      3.9612
     1.259E+06      56      26      0.4575      1.4168      2.5448      3.9592
     1.288E+06      56      26      0.4570      1.4135      2.5449      3.9572
     1.318E+06      56      26      0.4566      1.4101      2.5450      3.9553
     1.349E+06      56      26      0.4561      1.4068      2.5451      3.9533
     1.380E+06      56      26      0.4556      1.4034      2.5453      3.9513
     1.413E+06      56      26      0.4551      1.4001      2.5454      3.9493
     1.445E+06      56      26      0.4547      1.3967      2.5455      3.9474
     1.479E+06      56      26      0.4542      1.3934      2.5456      3.9454
     1.514E+06      56      26      0.4537      1.3900      2.5457      3.9434
     1.549E+06      56      26      0.4532      1.3867      2.5459      3.9414
     1.585E+06      56      26      0.4527      1.3833      2.5460      3.9394
     1.622E+06      56      26      0.4523      1.3800      2.5461      3.9375
     1.660E+06      56      26      0.4518      1.3767      2.5462      3.9355
     1.698E+06      56      26      0.4513      1.3733      2.5463      3.9335
     1.738E+06      56      26      0.4508      1.3700      2.5465      3.9315
     1.778E+06      56      26      0.4504      1.3666      2.5466      3.9296
     1.820E+06      56      26      0.4499      1.3633      2.5467      3.9276
     1.862E+06      56      26      0.4494      1.3599      2.5468      3.9256
     1.905E+06      56      26      0.4489      1.3566      2.5469      3.9236
     1.950E+06      56      26      0.4484      1.3532      2.5471      3.9216
     1.995E+06      56      26      0.4480      1.3499      2.5472      3.9197
     2.042E+06      56      26      0.4475      1.3465      2.5473      3.9177
     2.089E+06      56      26      0.4470      1.3432      2.5474      3.9157
     2.138E+06      56      26      0.4465      1.3399      2.5475      3.9137
     2.188E+06      56      26      0.4461      1.3365      2.5477      3.9118
     2.239E+06      56      26      0.4456      1.3332      2.5478      3.9098
     2.291E+06      56      26      0.4451      1.3298      2.5479      3.9078
     2.344E+06      56      26      0.4446      1.3265      2.5480      3.9058
     2.399E+06      56      26      0.4441      1.3231      2.5481      3.9038
     2.455E+06      56      26      0.4437      1.3198      2.5483      3.9019
     2.512E+06      56      26      0.4432      1.3164      2.5484      3.8999
