 5 1000

       EOS file : /Users/dany/Work/NStar/eos/quark/strange_eos_03_145_150.dat 

    rhoc        rad    grav. mass   b. mass  red shift  % binding 
  3.532E-01  8.523E+00  6.486E-01  7.182E-01  8.798E-01  1.072E-01
  3.544E-01  8.561E+00  6.581E-01  7.293E-01  8.785E-01  1.081E-01
  3.556E-01  8.597E+00  6.674E-01  7.402E-01  8.773E-01  1.090E-01
  3.568E-01  8.633E+00  6.768E-01  7.512E-01  8.760E-01  1.099E-01
  3.580E-01  8.668E+00  6.862E-01  7.622E-01  8.747E-01  1.108E-01
  3.593E-01  8.703E+00  6.954E-01  7.731E-01  8.734E-01  1.117E-01
  3.605E-01  8.737E+00  7.046E-01  7.839E-01  8.722E-01  1.126E-01
  3.617E-01  8.771E+00  7.138E-01  7.948E-01  8.709E-01  1.134E-01
  3.629E-01  8.804E+00  7.231E-01  8.057E-01  8.696E-01  1.143E-01
  3.642E-01  8.836E+00  7.321E-01  8.164E-01  8.684E-01  1.152E-01
  3.654E-01  8.868E+00  7.411E-01  8.271E-01  8.672E-01  1.160E-01
  3.667E-01  8.900E+00  7.502E-01  8.379E-01  8.659E-01  1.169E-01
  3.679E-01  8.931E+00  7.592E-01  8.486E-01  8.647E-01  1.177E-01
  3.692E-01  8.962E+00  7.680E-01  8.591E-01  8.635E-01  1.186E-01
  3.704E-01  8.992E+00  7.769E-01  8.697E-01  8.623E-01  1.194E-01
  3.717E-01  9.021E+00  7.858E-01  8.803E-01  8.611E-01  1.203E-01
  3.729E-01  9.051E+00  7.947E-01  8.909E-01  8.599E-01  1.211E-01
  3.742E-01  9.079E+00  8.033E-01  9.013E-01  8.587E-01  1.219E-01
  3.755E-01  9.108E+00  8.120E-01  9.117E-01  8.575E-01  1.227E-01
  3.768E-01  9.136E+00  8.208E-01  9.222E-01  8.564E-01  1.236E-01
  3.781E-01  9.163E+00  8.295E-01  9.326E-01  8.552E-01  1.244E-01
  3.793E-01  9.190E+00  8.379E-01  9.428E-01  8.540E-01  1.252E-01
  3.806E-01  9.217E+00  8.464E-01  9.531E-01  8.529E-01  1.260E-01
  3.819E-01  9.243E+00  8.550E-01  9.634E-01  8.517E-01  1.268E-01
  3.832E-01  9.269E+00  8.635E-01  9.737E-01  8.506E-01  1.276E-01
  3.845E-01  9.294E+00  8.718E-01  9.837E-01  8.495E-01  1.284E-01
