 5 1000

       EOS file : /Users/dany/Work/NStar/eos/quark/strange_eos_06_130_100.dat 

    rhoc        rad    grav. mass   b. mass  red shift  % binding 

  1.863E-01  1.326E+00  1.397E-03  1.532E-03  9.984E-01  9.722E-02
  1.870E-01  2.041E+00  5.094E-03  5.596E-03  9.963E-01  9.864E-02
  1.876E-01  2.557E+00  1.004E-02  1.104E-02  9.942E-01  1.000E-01
  1.883E-01  2.982E+00  1.594E-02  1.756E-02  9.920E-01  1.015E-01
  1.889E-01  3.348E+00  2.260E-02  2.492E-02  9.899E-01  1.028E-01
  1.895E-01  3.674E+00  2.990E-02  3.302E-02  9.878E-01  1.042E-01
  1.902E-01  3.970E+00  3.778E-02  4.177E-02  9.858E-01  1.056E-01
  1.908E-01  4.243E+00  4.618E-02  5.113E-02  9.837E-01  1.070E-01
  1.915E-01  4.496E+00  5.501E-02  6.097E-02  9.817E-01  1.084E-01
  1.921E-01  4.733E+00  6.424E-02  7.129E-02  9.796E-01  1.097E-01
  1.928E-01  4.955E+00  7.384E-02  8.205E-02  9.776E-01  1.111E-01
  1.934E-01  5.167E+00  8.383E-02  9.325E-02  9.756E-01  1.124E-01
  1.941E-01  5.366E+00  9.406E-02  1.048E-01  9.736E-01  1.138E-01
  1.948E-01  5.557E+00  1.046E-01  1.166E-01  9.717E-01  1.151E-01
  1.954E-01  5.739E+00  1.153E-01  1.287E-01  9.697E-01  1.164E-01
  1.961E-01  5.913E+00  1.263E-01  1.412E-01  9.678E-01  1.177E-01
  1.968E-01  6.080E+00  1.376E-01  1.539E-01  9.658E-01  1.191E-01
  1.974E-01  6.242E+00  1.490E-01  1.669E-01  9.639E-01  1.204E-01
  1.981E-01  6.397E+00  1.607E-01  1.802E-01  9.620E-01  1.217E-01
  1.988E-01  6.547E+00  1.724E-01  1.936E-01  9.601E-01  1.230E-01
  1.995E-01  6.691E+00  1.843E-01  2.072E-01  9.583E-01  1.242E-01
  2.001E-01  6.830E+00  1.963E-01  2.210E-01  9.564E-01  1.255E-01
  2.008E-01  6.966E+00  2.086E-01  2.350E-01  9.545E-01  1.268E-01
  2.015E-01  7.098E+00  2.209E-01  2.492E-01  9.527E-01  1.281E-01
  2.022E-01  7.224E+00  2.333E-01  2.635E-01  9.509E-01  1.293E-01
