         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion
   22   5.908613E+03   2.978737E-01   6.137E+14   3.336E+34   3.521E-01      8.191E-01   6.184E-01   9.229E-01   2.128E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   23   5.996814E+03   3.099721E-01   6.084E+14   3.247E+34   3.492E-01      8.155E-01   6.136E-01   9.179E-01   2.123E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   24   6.082495E+03   3.217247E-01   6.032E+14   3.160E+34   3.464E-01      8.120E-01   6.089E-01   9.131E-01   2.118E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   25   6.165827E+03   3.331553E-01   5.981E+14   3.076E+34   3.436E-01      8.086E-01   6.044E-01   9.083E-01   2.112E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   26   6.246966E+03   3.442850E-01   5.932E+14   2.995E+34   3.409E-01      8.052E-01   5.998E-01   9.037E-01   2.107E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   27   6.326050E+03   3.558311E-01   5.871E+14   2.915E+34   3.376E-01      8.011E-01   5.943E-01   8.979E-01   2.101E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   28   6.403204E+03   3.678809E-01   5.798E+14   2.838E+34   3.336E-01      7.961E-01   5.875E-01   8.910E-01   2.093E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   29   6.478542E+03   3.796469E-01   5.726E+14   2.762E+34   3.297E-01      7.911E-01   5.807E-01   8.840E-01   2.086E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   30   6.552169E+03   3.911456E-01   5.656E+14   2.689E+34   3.259E-01      7.863E-01   5.741E-01   8.773E-01   2.078E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   31   6.624177E+03   4.023915E-01   5.587E+14   2.617E+34   3.221E-01      7.815E-01   5.675E-01   8.707E-01   2.071E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   32   6.694652E+03   4.133980E-01   5.520E+14   2.546E+34   3.184E-01      7.777E-01   5.624E-01   8.655E-01   2.063E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   33   6.763674E+03   4.241776E-01   5.454E+14   2.477E+34   3.148E-01      7.753E-01   5.591E-01   8.622E-01   2.055E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   34   6.831315E+03   4.347415E-01   5.390E+14   2.410E+34   3.112E-01      7.729E-01   5.557E-01   8.588E-01   2.047E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   35   6.897642E+03   4.451003E-01   5.327E+14   2.343E+34   3.078E-01      7.706E-01   5.524E-01   8.555E-01   2.040E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   36   6.962718E+03   4.554933E-01   5.268E+14   2.279E+34   3.046E-01      7.684E-01   5.493E-01   8.524E-01   2.033E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   37   7.026600E+03   4.662208E-01   5.219E+14   2.220E+34   3.018E-01      7.664E-01   5.466E-01   8.497E-01   2.027E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   38   7.089341E+03   4.767565E-01   5.170E+14   2.161E+34   2.991E-01      7.645E-01   5.440E-01   8.471E-01   2.020E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   39   7.150990E+03   4.871091E-01   5.122E+14   2.103E+34   2.965E-01      7.627E-01   5.413E-01   8.445E-01   2.015E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   40   7.211595E+03   4.972861E-01   5.075E+14   2.046E+34   2.938E-01      7.608E-01   5.387E-01   8.419E-01   2.009E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   41   7.271198E+03   5.072950E-01   5.028E+14   1.990E+34   2.913E-01      7.589E-01   5.361E-01   8.393E-01   2.003E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   42   7.329839E+03   5.171424E-01   4.983E+14   1.936E+34   2.887E-01      7.571E-01   5.335E-01   8.367E-01   1.997E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   43   7.387556E+03   5.268347E-01   4.938E+14   1.881E+34   2.862E-01      7.553E-01   5.309E-01   8.342E-01   1.991E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   44   7.444386E+03   5.363778E-01   4.893E+14   1.828E+34   2.838E-01      7.535E-01   5.283E-01   8.317E-01   1.985E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   45   7.500361E+03   5.457774E-01   4.850E+14   1.776E+34   2.813E-01      7.517E-01   5.257E-01   8.291E-01   1.980E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   46   7.555512E+03   5.550388E-01   4.807E+14   1.724E+34   2.789E-01      7.499E-01   5.232E-01   8.266E-01   1.974E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   47   7.609871E+03   5.643679E-01   4.762E+14   1.675E+34   2.764E-01      7.480E-01   5.205E-01   8.240E-01   1.968E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   48   7.663463E+03   5.738681E-01   4.713E+14   1.629E+34   2.737E-01      7.459E-01   5.175E-01   8.211E-01   1.962E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   49   7.716316E+03   5.832373E-01   4.664E+14   1.583E+34   2.710E-01      7.438E-01   5.145E-01   8.182E-01   1.955E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   50   7.768455E+03   5.924800E-01   4.617E+14   1.538E+34   2.683E-01      7.418E-01   5.115E-01   8.153E-01   1.949E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   51   7.819903E+03   6.016001E-01   4.570E+14   1.493E+34   2.657E-01      7.398E-01   5.085E-01   8.125E-01   1.943E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   52   7.870683E+03   6.106019E-01   4.524E+14   1.450E+34   2.631E-01      7.377E-01   5.056E-01   8.096E-01   1.936E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   53   7.920816E+03   6.194890E-01   4.478E+14   1.406E+34   2.605E-01      7.357E-01   5.026E-01   8.068E-01   1.930E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   54   7.970323E+03   6.282650E-01   4.433E+14   1.364E+34   2.580E-01      7.336E-01   4.996E-01   8.039E-01   1.924E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   55   8.019222E+03   6.369332E-01   4.388E+14   1.321E+34   2.555E-01      7.316E-01   4.966E-01   8.011E-01   1.917E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   56   8.067532E+03   6.454971E-01   4.344E+14   1.280E+34   2.530E-01      7.296E-01   4.937E-01   7.983E-01   1.911E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   57   8.115269E+03   6.539596E-01   4.300E+14   1.238E+34   2.505E-01      7.276E-01   4.907E-01   7.954E-01   1.905E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   58   8.162452E+03   6.623237E-01   4.257E+14   1.198E+34   2.481E-01      7.256E-01   4.877E-01   7.927E-01   1.899E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   59   8.209096E+03   6.706261E-01   4.210E+14   1.160E+34   2.454E-01      7.234E-01   4.844E-01   7.896E-01   1.892E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   60   8.255215E+03   6.788568E-01   4.161E+14   1.125E+34   2.426E-01      7.210E-01   4.809E-01   7.863E-01   1.885E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   61   8.300825E+03   6.869966E-01   4.112E+14   1.090E+34   2.398E-01      7.187E-01   4.774E-01   7.829E-01   1.878E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   62   8.345940E+03   6.950479E-01   4.063E+14   1.055E+34   2.371E-01      7.163E-01   4.738E-01   7.797E-01   1.871E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   63   8.390571E+03   7.030130E-01   4.016E+14   1.021E+34   2.344E-01      7.140E-01   4.703E-01   7.764E-01   1.864E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   64   8.434732E+03   7.108942E-01   3.968E+14   9.868E+33   2.317E-01      7.116E-01   4.667E-01   7.731E-01   1.856E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   65   8.478436E+03   7.186938E-01   3.922E+14   9.532E+33   2.290E-01      7.093E-01   4.631E-01   7.697E-01   1.849E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   66   8.521695E+03   7.264138E-01   3.875E+14   9.200E+33   2.264E-01      7.069E-01   4.594E-01   7.664E-01   1.842E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   67   8.564518E+03   7.340563E-01   3.829E+14   8.871E+33   2.238E-01      7.045E-01   4.558E-01   7.631E-01   1.835E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   68   8.606918E+03   7.416230E-01   3.784E+14   8.546E+33   2.212E-01      7.022E-01   4.521E-01   7.598E-01   1.828E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   69   8.648903E+03   7.491160E-01   3.739E+14   8.223E+33   2.186E-01      6.998E-01   4.484E-01   7.564E-01   1.821E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   70   8.690485E+03   7.565368E-01   3.694E+14   7.904E+33   2.161E-01      6.974E-01   4.447E-01   7.531E-01   1.814E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   71   8.731672E+03   7.631814E-01   3.622E+14   7.640E+33   2.119E-01      6.934E-01   4.384E-01   7.475E-01   1.803E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   72   8.772475E+03   7.695337E-01   3.541E+14   7.396E+33   2.075E-01      6.882E-01   4.301E-01   7.402E-01   1.790E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
