         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion
  100   9.787640E+03   9.164364E-01   2.086E+14   2.240E+33   1.233E-01      5.343E-01   8.312E-02   5.350E-01   1.518E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
  101   9.820157E+03   9.206623E-01   2.046E+14   2.110E+33   1.209E-01      5.283E-01   5.373E-02   5.285E-01   1.508E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
  102   9.852461E+03   9.248604E-01   2.007E+14   1.981E+33   1.186E-01      5.222E-01  -0.000E+00   5.222E-01   1.499E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
  103   9.884554E+03   9.288877E-01   1.965E+14   1.860E+33   1.162E-01      5.158E-01  -0.000E+00   5.158E-01   1.489E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
  104   9.916440E+03   9.325186E-01   1.919E+14   1.757E+33   1.135E-01      5.085E-01  -0.000E+00   5.085E-01   1.478E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
  105   9.948122E+03   9.361264E-01   1.873E+14   1.655E+33   1.107E-01      5.009E-01  -0.000E+00   5.009E-01   1.466E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
  106   9.979603E+03   9.397113E-01   1.827E+14   1.554E+33   1.081E-01      4.934E-01  -0.000E+00   4.934E-01   1.455E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
  107   1.001089E+04   9.432737E-01   1.781E+14   1.453E+33   1.055E-01      4.858E-01  -0.000E+00   4.858E-01   1.444E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
  108   1.004198E+04   9.468140E-01   1.736E+14   1.353E+33   1.028E-01      4.780E-01  -0.000E+00   4.780E-01   1.432E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
  109   1.007288E+04   9.503326E-01   1.691E+14   1.254E+33   1.001E-01      4.699E-01  -0.000E+00   4.699E-01   1.419E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
  110   1.010359E+04   9.538296E-01   1.646E+14   1.155E+33   9.754E-02      4.621E-01  -0.000E+00   4.621E-01   1.408E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
  111   1.013411E+04   9.571139E-01   1.600E+14   1.064E+33   9.485E-02      4.537E-01  -0.000E+00   4.537E-01   1.395E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
  112   1.016747E+04   9.603439E-01   1.540E+14   9.790E+32   9.124E-02      4.472E-01                           1.271E+00                                                      1.000E+00                                  no   966.8  232.0   32.0
  113   1.020186E+04   9.636729E-01   1.482E+14   8.910E+32   8.776E-02      4.408E-01                           1.255E+00                                                      1.000E+00                                  no   971.1  232.0   32.0
  114   1.023624E+04   9.670018E-01   1.426E+14   8.031E+32   8.441E-02      4.345E-01                           1.240E+00                                                      1.000E+00                                  no   975.2  232.0   32.0
  115   1.027062E+04   9.703308E-01   1.372E+14   7.152E+32   8.119E-02      4.283E-01                           1.224E+00                                                      1.000E+00                                  no   979.2  232.0   32.0
  116   1.030501E+04   9.736597E-01   1.320E+14   6.273E+32   7.810E-02      4.205E-01                           1.210E+00                                                      1.000E+00                                  no   995.2  232.0   32.0
  117   1.032194E+04   9.750020E-01   1.271E+14   5.934E+32   7.517E-02      4.087E-01                           1.201E+00                                                      1.000E+00                                  no  1043.5  232.0   32.0
  118   1.033774E+04   9.762147E-01   1.223E+14   5.630E+32   7.235E-02      3.977E-01                           1.190E+00                                                      1.000E+00                                  no  1090.1  232.0   32.0
  119   1.035353E+04   9.774273E-01   1.177E+14   5.326E+32   6.963E-02      3.874E-01                           1.179E+00                                                      1.000E+00                                  no  1134.9  232.0   32.0
  120   1.036933E+04   9.786400E-01   1.132E+14   5.021E+32   6.702E-02      3.778E-01                           1.168E+00                                                      1.000E+00                                  no  1178.0  232.0   32.0
  121   1.038513E+04   9.798527E-01   1.090E+14   4.717E+32   6.451E-02      3.687E-01                           1.156E+00                                                      1.000E+00                                  no  1219.4  232.0   32.0
  122   1.040093E+04   9.810653E-01   1.049E+14   4.413E+32   6.209E-02      3.601E-01                           1.145E+00                                                      1.000E+00                                  no  1259.3  232.0   32.0
  123   1.041672E+04   9.822780E-01   1.009E+14   4.109E+32   5.976E-02      3.520E-01                           1.133E+00                                                      1.000E+00                                  no  1297.8  232.0   32.0
  124   1.043252E+04   9.834907E-01   9.711E+13   3.805E+32   5.752E-02      3.443E-01                           1.121E+00                                                      1.000E+00                                  no  1334.7  232.0   32.0
  125   1.044688E+04   9.844767E-01   9.345E+13   3.561E+32   5.536E-02      3.370E-01                           1.108E+00                                                      1.000E+00                                  no  1370.3  232.0   32.0
  126   1.045953E+04   9.851929E-01   8.993E+13   3.389E+32   5.329E-02      3.300E-01                           1.096E+00                                                      1.000E+00                                  no  1404.5  232.0   32.0
  127   1.047219E+04   9.859091E-01   8.655E+13   3.217E+32   5.129E-02      3.234E-01                           1.084E+00                                                      1.000E+00                                  no  1437.4  232.0   32.0
  128   1.048484E+04   9.866254E-01   8.328E+13   3.045E+32   4.937E-02      3.169E-01                           1.072E+00                                                      1.000E+00                                  no  1469.1  232.0   32.0
  129   1.049749E+04   9.873416E-01   8.015E+13   2.873E+32   4.752E-02      3.108E-01                           1.060E+00                                                      1.000E+00                                  no  1499.6  232.0   32.0
  130   1.051014E+04   9.880578E-01   7.713E+13   2.701E+32   4.573E-02      3.291E-01                           1.060E+00                                                      1.000E+00                                  no  1519.5  183.0   40.0
  131   1.052280E+04   9.887740E-01   7.422E+13   2.529E+32   4.401E-02      3.236E-01                           1.047E+00                                                      1.000E+00                                  no  1538.6  183.0   40.0
  132   1.053545E+04   9.894902E-01   7.142E+13   2.357E+32   4.236E-02      3.182E-01                           1.034E+00                                                      1.000E+00                                  no  1556.9  183.0   40.0
  133   1.054810E+04   9.902065E-01   6.873E+13   2.185E+32   4.077E-02      3.130E-01                           1.022E+00                                                      1.000E+00                                  no  1574.5  183.0   40.0
  134   1.055929E+04   9.907384E-01   6.614E+13   2.059E+32   3.923E-02      3.079E-01                           1.009E+00                                                      1.000E+00                                  no  1591.5  183.0   40.0
  135   1.056958E+04   9.911576E-01   6.365E+13   1.962E+32   3.776E-02      3.030E-01                           9.969E-01                                                      1.000E+00                                  no  1607.8  183.0   40.0
  136   1.057986E+04   9.915769E-01   6.125E+13   1.865E+32   3.634E-02      2.982E-01                           9.847E-01                                                      1.000E+00                                  no  1623.5  183.0   40.0
  137   1.059015E+04   9.919961E-01   5.894E+13   1.768E+32   3.497E-02      2.935E-01                           9.725E-01                                                      1.000E+00                                  no  1638.7  183.0   40.0
  138   1.060044E+04   9.924153E-01   5.672E+13   1.671E+32   3.366E-02      2.889E-01                           9.606E-01                                                      1.000E+00                                  no  1653.2  183.0   40.0
  139   1.061073E+04   9.928345E-01   5.459E+13   1.574E+32   3.239E-02      2.844E-01                           9.487E-01                                                      1.000E+00                                  no  1667.2  183.0   40.0
  140   1.062102E+04   9.932537E-01   5.253E+13   1.477E+32   3.118E-02      2.801E-01                           9.370E-01                                                      1.000E+00                                  no  1680.7  183.0   40.0
  141   1.063131E+04   9.936729E-01   5.055E+13   1.380E+32   3.001E-02      2.758E-01                           9.254E-01                                                      1.000E+00                                  no  1693.7  183.0   40.0
  142   1.064159E+04   9.940921E-01   4.865E+13   1.283E+32   2.888E-02      2.717E-01                           9.139E-01                                                      1.000E+00                                  no  1706.1  183.0   40.0
  143   1.065103E+04   9.944249E-01   4.681E+13   1.207E+32   2.779E-02      2.676E-01                           9.026E-01                                                      1.000E+00                                  no  1718.2  183.0   40.0
  144   1.065967E+04   9.946770E-01   4.505E+13   1.150E+32   2.675E-02      2.636E-01                           8.914E-01                                                      1.000E+00                                  no  1729.7  183.0   40.0
  145   1.066831E+04   9.949291E-01   4.335E+13   1.094E+32   2.575E-02      2.597E-01                           8.803E-01                                                      1.000E+00                                  no  1740.8  183.0   40.0
  146   1.067695E+04   9.951812E-01   4.172E+13   1.037E+32   2.478E-02      2.559E-01                           8.693E-01                                                      1.000E+00                                  no  1751.5  183.0   40.0
  147   1.068560E+04   9.954333E-01   4.015E+13   9.808E+31   2.385E-02      2.521E-01                           8.585E-01                                                      1.000E+00                                  no  1761.8  183.0   40.0
  148   1.069424E+04   9.956854E-01   3.863E+13   9.243E+31   2.295E-02      2.485E-01                           8.478E-01                                                      1.000E+00                                  no  1771.7  183.0   40.0
  149   1.070288E+04   9.959375E-01   3.718E+13   8.678E+31   2.209E-02      2.449E-01                           8.372E-01                                                      1.000E+00                                  no  1781.3  183.0   40.0
  150   1.071152E+04   9.961896E-01   3.578E+13   8.113E+31   2.126E-02      2.414E-01                           8.268E-01                                                      1.000E+00                                  no  1790.5  183.0   40.0
  151   1.072016E+04   9.964417E-01   3.443E+13   7.549E+31   2.046E-02      2.379E-01                           8.165E-01                                                      1.000E+00                                  no  1799.3  183.0   40.0
  152   1.072827E+04   9.966563E-01   3.313E+13   7.071E+31   1.969E-02      2.543E-01                           8.040E-01                                                      1.000E+00                                  no  1772.4  193.0   50.0
  153   1.073545E+04   9.968054E-01   3.188E+13   6.747E+31   1.895E-02      2.525E-01                           7.932E-01                                                      1.000E+00                                  no  1743.4  193.0   50.0
  154   1.074263E+04   9.969544E-01   3.068E+13   6.422E+31   1.824E-02      2.506E-01                           7.826E-01                                                      1.000E+00                                  no  1715.4  193.0   50.0
  155   1.074981E+04   9.971035E-01   2.953E+13   6.097E+31   1.755E-02      2.487E-01                           7.722E-01                                                      1.000E+00                                  no  1688.6  193.0   50.0
  156   1.075698E+04   9.972525E-01   2.841E+13   5.773E+31   1.689E-02      2.469E-01                           7.618E-01                                                      1.000E+00                                  no  1662.7  193.0   50.0
  157   1.076416E+04   9.974016E-01   2.734E+13   5.448E+31   1.626E-02      2.449E-01                           7.517E-01                                                      1.000E+00                                  no  1637.8  193.0   50.0
  158   1.077134E+04   9.975506E-01   2.631E+13   5.123E+31   1.565E-02      2.430E-01                           7.416E-01                                                      1.000E+00                                  no  1613.9  193.0   50.0
  159   1.077852E+04   9.976997E-01   2.532E+13   4.799E+31   1.506E-02      2.411E-01                           7.317E-01                                                      1.000E+00                                  no  1590.8  193.0   50.0
  160   1.078570E+04   9.978487E-01   2.437E+13   4.474E+31   1.449E-02      2.392E-01                           7.220E-01                                                      1.000E+00                                  no  1568.7  193.0   50.0
  161   1.079277E+04   9.979921E-01   2.345E+13   4.162E+31   1.395E-02      2.372E-01                           7.124E-01                                                      1.000E+00                                  no  1547.3  193.0   50.0
  162   1.079880E+04   9.980809E-01   2.257E+13   3.973E+31   1.342E-02      2.352E-01                           7.029E-01                                                      1.000E+00                                  no  1526.8  193.0   50.0
  163   1.080483E+04   9.981696E-01   2.172E+13   3.785E+31   1.292E-02      2.333E-01                           6.935E-01                                                      1.000E+00                                  no  1507.0  193.0   50.0
  164   1.081087E+04   9.982583E-01   2.090E+13   3.596E+31   1.243E-02      2.313E-01                           6.843E-01                                                      1.000E+00                                  no  1488.0  193.0   50.0
  165   1.081690E+04   9.983470E-01   2.011E+13   3.407E+31   1.197E-02      2.293E-01                           6.752E-01                                                      1.000E+00                                  no  1469.7  193.0   50.0
  166   1.082293E+04   9.984357E-01   1.935E+13   3.219E+31   1.152E-02      2.273E-01                           6.662E-01                                                      1.000E+00                                  no  1452.1  193.0   50.0
  167   1.082896E+04   9.985244E-01   1.862E+13   3.030E+31   1.108E-02      2.253E-01                           6.573E-01                                                      1.000E+00                                  no  1435.1  193.0   50.0
  168   1.083500E+04   9.986131E-01   1.792E+13   2.841E+31   1.067E-02      2.233E-01                           6.486E-01                                                      1.000E+00                                  no  1418.8  193.0   50.0
  169   1.084103E+04   9.987018E-01   1.725E+13   2.653E+31   1.027E-02      2.213E-01                           6.400E-01                                                      1.000E+00                                  no  1403.1  193.0   50.0
  170   1.084706E+04   9.987905E-01   1.660E+13   2.464E+31   9.881E-03      2.192E-01                           6.315E-01                                                      1.000E+00                                  no  1388.0  193.0   50.0
  171   1.085222E+04   9.988492E-01   1.597E+13   2.341E+31   9.510E-03      2.172E-01                           6.232E-01                                                      1.000E+00                                  no  1373.5  193.0   50.0
  172   1.085716E+04   9.989004E-01   1.537E+13   2.235E+31   9.153E-03      2.152E-01                           6.149E-01                                                      1.000E+00                                  no  1359.5  193.0   50.0
  173   1.086210E+04   9.989516E-01   1.479E+13   2.128E+31   8.809E-03      2.134E-01                           6.118E-01                                                      1.000E+00                                  no  1341.9  164.0   50.0
  174   1.086704E+04   9.990028E-01   1.423E+13   2.021E+31   8.477E-03      2.121E-01                           6.034E-01                                                      1.000E+00                                  no  1315.5  164.0   50.0
  175   1.087199E+04   9.990540E-01   1.370E+13   1.915E+31   8.158E-03      2.108E-01                           5.952E-01                                                      1.000E+00                                  no  1290.1  164.0   50.0
  176   1.087693E+04   9.991051E-01   1.318E+13   1.808E+31   7.851E-03      2.094E-01                           5.871E-01                                                      1.000E+00                                  no  1265.7  164.0   50.0
  177   1.088187E+04   9.991563E-01   1.268E+13   1.701E+31   7.555E-03      2.080E-01                           5.791E-01                                                      1.000E+00                                  no  1242.1  164.0   50.0
  178   1.088681E+04   9.992075E-01   1.221E+13   1.595E+31   7.271E-03      2.067E-01                           5.712E-01                                                      1.000E+00                                  no  1219.5  164.0   50.0
  179   1.089175E+04   9.992587E-01   1.175E+13   1.488E+31   6.997E-03      2.053E-01                           5.634E-01                                                      1.000E+00                                  no  1197.7  164.0   50.0
  180   1.089643E+04   9.993037E-01   1.130E+13   1.395E+31   6.733E-03      2.039E-01                           5.557E-01                                                      1.000E+00                                  no  1176.7  164.0   50.0
  181   1.090037E+04   9.993321E-01   1.088E+13   1.336E+31   6.480E-03      2.024E-01                           5.481E-01                                                      1.000E+00                                  no  1156.5  164.0   50.0
  182   1.090432E+04   9.993605E-01   1.047E+13   1.278E+31   6.236E-03      2.010E-01                           5.406E-01                                                      1.000E+00                                  no  1137.1  164.0   50.0
  183   1.090826E+04   9.993889E-01   1.007E+13   1.220E+31   6.001E-03      1.995E-01                           5.332E-01                                                      1.000E+00                                  no  1118.4  164.0   50.0
  184   1.091221E+04   9.994173E-01   9.694E+12   1.162E+31   5.775E-03      1.981E-01                           5.260E-01                                                      1.000E+00                                  no  1100.4  164.0   50.0
  185   1.091615E+04   9.994457E-01   9.328E+12   1.104E+31   5.558E-03      1.965E-01                           5.194E-01                                                      1.000E+00                                  no  1084.4  161.0   50.0
  186   1.092010E+04   9.994741E-01   8.977E+12   1.046E+31   5.349E-03      1.949E-01                           5.124E-01                                                      1.000E+00                                  no  1069.0  161.0   50.0
  187   1.092405E+04   9.995025E-01   8.639E+12   9.876E+30   5.147E-03      1.934E-01                           5.054E-01                                                      1.000E+00                                  no  1054.2  161.0   50.0
  188   1.092799E+04   9.995308E-01   8.313E+12   9.294E+30   4.954E-03      1.918E-01                           4.986E-01                                                      1.000E+00                                  no  1040.0  161.0   50.0
  189   1.093194E+04   9.995592E-01   8.000E+12   8.713E+30   4.767E-03      1.902E-01                           4.919E-01                                                      1.000E+00                                  no  1026.3  161.0   50.0
  190   1.093571E+04   9.995853E-01   7.699E+12   8.181E+30   4.588E-03      1.886E-01                           4.852E-01                                                      1.000E+00                                  no  1013.1  161.0   50.0
  191   1.093862E+04   9.995993E-01   7.408E+12   7.898E+30   4.415E-03      1.870E-01                           4.787E-01                                                      1.000E+00                                  no  1000.4  161.0   50.0
  192   1.094152E+04   9.996133E-01   7.129E+12   7.614E+30   4.249E-03      1.853E-01                           4.722E-01                                                      1.000E+00                                  no   988.2  161.0   50.0
  193   1.094443E+04   9.996274E-01   6.861E+12   7.331E+30   4.089E-03      1.837E-01                           4.659E-01                                                      1.000E+00                                  no   976.4  161.0   50.0
  194   1.094733E+04   9.996414E-01   6.602E+12   7.047E+30   3.935E-03      1.821E-01                           4.596E-01                                                      1.000E+00                                  no   965.1  161.0   50.0
  195   1.095024E+04   9.996555E-01   6.353E+12   6.764E+30   3.787E-03      1.805E-01                           4.534E-01                                                      1.000E+00                                  no   954.2  161.0   50.0
  196   1.095314E+04   9.996695E-01   6.114E+12   6.481E+30   3.645E-03      1.796E-01                           4.473E-01                                                      1.000E+00                                  no   932.1  159.0   50.0
  197   1.095605E+04   9.996836E-01   5.884E+12   6.197E+30   3.508E-03      1.791E-01                           4.407E-01                                                      1.000E+00                                  no   903.2  159.0   50.0
  198   1.095896E+04   9.996976E-01   5.662E+12   5.914E+30   3.376E-03      1.787E-01                           4.341E-01                                                      1.000E+00                                  no   875.5  159.0   50.0
  199   1.096186E+04   9.997117E-01   5.449E+12   5.630E+30   3.248E-03      1.783E-01                           4.276E-01                                                      1.000E+00                                  no   848.7  159.0   50.0
  200   1.096477E+04   9.997257E-01   5.243E+12   5.347E+30   3.126E-03      1.778E-01                           4.211E-01                                                      1.000E+00                                  no   823.0  159.0   50.0
  201   1.096767E+04   9.997397E-01   5.046E+12   5.064E+30   3.008E-03      1.774E-01                           4.147E-01                                                      1.000E+00                                  no   798.3  159.0   50.0
  202   1.097048E+04   9.997521E-01   4.856E+12   4.816E+30   2.895E-03      1.769E-01                           4.084E-01                                                      1.000E+00                                  no   774.4  159.0   50.0
  203   1.097298E+04   9.997594E-01   4.673E+12   4.669E+30   2.786E-03      1.764E-01                           4.022E-01                                                      1.000E+00                                  no   751.5  159.0   50.0
  204   1.097549E+04   9.997668E-01   4.497E+12   4.522E+30   2.681E-03      1.759E-01                           3.960E-01                                                      1.000E+00                                  no   729.5  159.0   50.0
  205   1.097800E+04   9.997742E-01   4.327E+12   4.375E+30   2.580E-03      1.754E-01                           3.898E-01                                                      1.000E+00                                  no   708.2  159.0   50.0
  206   1.098051E+04   9.997816E-01   4.164E+12   4.228E+30   2.483E-03      1.748E-01                           3.838E-01                                                      1.000E+00                                  no   687.8  159.0   50.0
  207   1.098301E+04   9.997890E-01   4.007E+12   4.081E+30   2.390E-03      1.743E-01                           3.778E-01                                                      1.000E+00                                  no   668.2  159.0   50.0
  208   1.098552E+04   9.997963E-01   3.856E+12   3.934E+30   2.300E-03      1.737E-01                           3.719E-01                                                      1.000E+00                                  no   649.2  159.0   50.0
  209   1.098803E+04   9.998037E-01   3.711E+12   3.787E+30   2.213E-03      1.732E-01                           3.660E-01                                                      1.000E+00                                  no   631.0  159.0   50.0
  210   1.099054E+04   9.998111E-01   3.571E+12   3.641E+30   2.130E-03      1.726E-01                           3.602E-01                                                      1.000E+00                                  no   613.5  159.0   50.0
  211   1.099304E+04   9.998185E-01   3.437E+12   3.494E+30   2.050E-03      1.720E-01                           3.544E-01                                                      1.000E+00                                  no   596.7  159.0   50.0
  212   1.099555E+04   9.998258E-01   3.307E+12   3.347E+30   1.973E-03      1.714E-01                           3.487E-01                                                      1.000E+00                                  no   580.4  159.0   50.0
  213   1.099806E+04   9.998332E-01   3.183E+12   3.200E+30   1.898E-03      1.707E-01                           3.431E-01                                                      1.000E+00                                  no   564.8  159.0   50.0
  214   1.100056E+04   9.998406E-01   3.063E+12   3.053E+30   1.827E-03      1.701E-01                           3.375E-01                                                      1.000E+00                                  no   549.8  159.0   50.0
  215   1.100295E+04   9.998468E-01   2.947E+12   2.929E+30   1.758E-03      1.694E-01                           3.320E-01                                                      1.000E+00                                  no   535.4  159.0   50.0
  216   1.100505E+04   9.998505E-01   2.836E+12   2.857E+30   1.692E-03      1.687E-01                           3.266E-01                                                      1.000E+00                                  no   521.4  159.0   50.0
  217   1.100716E+04   9.998541E-01   2.729E+12   2.786E+30   1.628E-03      1.680E-01                           3.212E-01                                                      1.000E+00                                  no   508.1  159.0   50.0
  218   1.100926E+04   9.998578E-01   2.626E+12   2.714E+30   1.567E-03      1.554E-01                           3.284E-01                                                      1.000E+00                                  no   494.2  117.0   40.0
  219   1.101137E+04   9.998614E-01   2.528E+12   2.643E+30   1.508E-03      1.550E-01                           3.232E-01                                                      1.000E+00                                  no   479.3  117.0   40.0
  220   1.101347E+04   9.998650E-01   2.432E+12   2.571E+30   1.451E-03      1.546E-01                           3.180E-01                                                      1.000E+00                                  no   464.9  117.0   40.0
  221   1.101557E+04   9.998687E-01   2.341E+12   2.499E+30   1.397E-03      1.542E-01                           3.129E-01                                                      1.000E+00                                  no   451.1  117.0   40.0
  222   1.101768E+04   9.998723E-01   2.252E+12   2.428E+30   1.344E-03      1.538E-01                           3.078E-01                                                      1.000E+00                                  no   437.8  117.0   40.0
  223   1.101978E+04   9.998760E-01   2.168E+12   2.356E+30   1.294E-03      1.533E-01                           3.028E-01                                                      1.000E+00                                  no   424.9  117.0   40.0
  224   1.102188E+04   9.998796E-01   2.086E+12   2.285E+30   1.245E-03      1.529E-01                           2.978E-01                                                      1.000E+00                                  no   412.6  117.0   40.0
  225   1.102399E+04   9.998832E-01   2.007E+12   2.213E+30   1.198E-03      1.524E-01                           2.929E-01                                                      1.000E+00                                  no   400.8  117.0   40.0
  226   1.102609E+04   9.998869E-01   1.932E+12   2.142E+30   1.153E-03      1.519E-01                           2.880E-01                                                      1.000E+00                                  no   389.4  117.0   40.0
  227   1.102819E+04   9.998905E-01   1.859E+12   2.070E+30   1.110E-03      1.514E-01                           2.831E-01                                                      1.000E+00                                  no   378.4  117.0   40.0
  228   1.103030E+04   9.998941E-01   1.789E+12   1.999E+30   1.068E-03      1.509E-01                           2.783E-01                                                      1.000E+00                                  no   367.8  117.0   40.0
  229   1.103240E+04   9.998978E-01   1.721E+12   1.927E+30   1.028E-03      1.504E-01                           2.736E-01                                                      1.000E+00                                  no   357.6  117.0   40.0
  230   1.103451E+04   9.999014E-01   1.657E+12   1.856E+30   9.890E-04      1.499E-01                           2.689E-01                                                      1.000E+00                                  no   347.9  117.0   40.0
  231   1.103686E+04   9.999041E-01   1.594E+12   1.804E+30   9.518E-04      1.493E-01                           2.642E-01                                                      1.000E+00                                  no   338.4  117.0   40.0
  232   1.103929E+04   9.999064E-01   1.534E+12   1.760E+30   9.160E-04      1.488E-01                           2.596E-01                                                      1.000E+00                                  no   329.4  117.0   40.0
  233   1.104172E+04   9.999087E-01   1.476E+12   1.715E+30   8.816E-04      1.482E-01                           2.550E-01                                                      1.000E+00                                  no   320.6  117.0   40.0
  234   1.104416E+04   9.999109E-01   1.421E+12   1.671E+30   8.484E-04      1.476E-01                           2.509E-01                                                      1.000E+00                                  no   312.3  116.0   40.0
  235   1.104659E+04   9.999132E-01   1.367E+12   1.626E+30   8.165E-04      1.470E-01                           2.464E-01                                                      1.000E+00                                  no   304.3  116.0   40.0
  236   1.104902E+04   9.999155E-01   1.316E+12   1.581E+30   7.858E-04      1.464E-01                           2.420E-01                                                      1.000E+00                                  no   296.6  116.0   40.0
  237   1.105146E+04   9.999178E-01   1.266E+12   1.537E+30   7.562E-04      1.458E-01                           2.376E-01                                                      1.000E+00                                  no   289.2  116.0   40.0
  238   1.105389E+04   9.999201E-01   1.218E+12   1.492E+30   7.278E-04      1.451E-01                           2.332E-01                                                      1.000E+00                                  no   282.1  116.0   40.0
  239   1.105632E+04   9.999224E-01   1.172E+12   1.448E+30   7.004E-04      1.445E-01                           2.289E-01                                                      1.000E+00                                  no   275.2  116.0   40.0
  240   1.105876E+04   9.999247E-01   1.128E+12   1.403E+30   6.741E-04      1.438E-01                           2.247E-01                                                      1.000E+00                                  no   268.6  116.0   40.0
  241   1.106119E+04   9.999270E-01   1.086E+12   1.359E+30   6.487E-04      1.431E-01                           2.204E-01                                                      1.000E+00                                  no   262.2  116.0   40.0
  242   1.106362E+04   9.999293E-01   1.045E+12   1.314E+30   6.244E-04      1.424E-01                           2.163E-01                                                      1.000E+00                                  no   256.1  116.0   40.0
  243   1.106606E+04   9.999316E-01   1.005E+12   1.269E+30   6.009E-04      1.417E-01                           2.121E-01                                                      1.000E+00                                  no   250.2  116.0   40.0
  244   1.106849E+04   9.999339E-01   9.676E+11   1.225E+30   5.783E-04      1.410E-01                           2.080E-01                                                      1.000E+00                                  no   244.6  116.0   40.0
  245   1.107093E+04   9.999362E-01   9.311E+11   1.180E+30   5.565E-04      1.402E-01                           2.040E-01                                                      1.000E+00                                  no   239.1  116.0   40.0
  246   1.107319E+04   9.999380E-01   8.961E+11   1.146E+30   5.355E-04      1.395E-01                           1.999E-01                                                      1.000E+00                                  no   233.9  116.0   40.0
  247   1.107522E+04   9.999391E-01   8.623E+11   1.126E+30   5.154E-04      1.387E-01                           1.960E-01                                                      1.000E+00                                  no   228.8  116.0   40.0
  248   1.107725E+04   9.999401E-01   8.298E+11   1.105E+30   4.959E-04      1.379E-01                           1.920E-01                                                      1.000E+00                                  no   224.0  116.0   40.0
  249   1.107928E+04   9.999412E-01   7.985E+11   1.085E+30   4.773E-04      1.371E-01                           1.881E-01                                                      1.000E+00                                  no   219.3  116.0   40.0
  250   1.108132E+04   9.999423E-01   7.685E+11   1.064E+30   4.593E-04      1.363E-01                           1.843E-01                                                      1.000E+00                                  no   214.8  116.0   40.0
  251   1.108335E+04   9.999434E-01   7.395E+11   1.044E+30   4.420E-04      1.355E-01                           1.804E-01                                                      1.000E+00                                  no   210.5  116.0   40.0
  252   1.108538E+04   9.999444E-01   7.116E+11   1.023E+30   4.254E-04      1.347E-01                           1.767E-01                                                      1.000E+00                                  no   206.3  116.0   40.0
  253   1.108741E+04   9.999455E-01   6.848E+11   1.003E+30   4.093E-04      1.338E-01                           1.729E-01                                                      1.000E+00                                  no   202.3  116.0   40.0
  254   1.108945E+04   9.999466E-01   6.590E+11   9.822E+29   3.939E-04      1.330E-01                           1.692E-01                                                      1.000E+00                                  no   198.4  116.0   40.0
  255   1.109148E+04   9.999476E-01   6.342E+11   9.617E+29   3.791E-04      1.322E-01                           1.655E-01                                                      1.000E+00                                  no   194.5  116.0   40.0
  256   1.109351E+04   9.999487E-01   6.103E+11   9.412E+29   3.648E-04      1.313E-01                           1.618E-01                                                      1.000E+00                                  no   190.8  116.0   40.0
  257   1.109555E+04   9.999498E-01   5.873E+11   9.207E+29   3.511E-04      1.305E-01                           1.581E-01                                                      1.000E+00                                  no   187.2  116.0   40.0
  258   1.109758E+04   9.999509E-01   5.652E+11   9.002E+29   3.379E-04      1.296E-01                           1.545E-01                                                      1.000E+00                                  no   183.8  116.0   40.0
  259   1.109961E+04   9.999519E-01   5.439E+11   8.797E+29   3.252E-04      1.287E-01                           1.509E-01                                                      1.000E+00                                  no   180.5  116.0   40.0
  260   1.110164E+04   9.999530E-01   5.234E+11   8.592E+29   3.130E-04      1.287E-01                           1.457E-01                                                      1.000E+00                                  no   174.1  116.0   40.0
  261   1.110368E+04   9.999541E-01   5.037E+11   8.387E+29   3.012E-04      1.287E-01                           1.399E-01                                                      1.000E+00                                  no   167.4  116.0   40.0
