       6     150      50      65
 
     EOS file :  /Users/dany/Work/NStar/EOS/v14/APR_EOS_Cat.dat              
 
  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   
 
     0       0.000000   4.386739E-01   7.775737E+14    6.94627E+34   0.000000000E+00  -3.100794E-01   0.000000000E+00
     1      10.000000   4.386737E-01   7.775731E+14    6.94626E+34   1.637551708E-09  -3.100792E-01   1.547185131E-09
     2      11.666664   4.386736E-01   7.775730E+14    6.94625E+34   2.600370055E-09  -3.100791E-01   2.456871496E-09
     3      13.611106   4.386735E-01   7.775728E+14    6.94625E+34   4.129288347E-09  -3.100790E-01   3.901418436E-09
     4      15.879619   4.386733E-01   7.775725E+14    6.94624E+34   6.557150544E-09  -3.100789E-01   6.195302632E-09
     5      18.526216   4.386731E-01   7.775721E+14    6.94623E+34   1.041249839E-08  -3.100788E-01   9.837899629E-09
     6      21.613908   4.386728E-01   7.775715E+14    6.94621E+34   1.653463199E-08  -3.100786E-01   1.562219546E-08
     7      25.216210   4.386725E-01   7.775708E+14    6.94619E+34   2.625631884E-08  -3.100783E-01   2.480741430E-08
     8      29.418887   4.386719E-01   7.775698E+14    6.94616E+34   4.169392277E-08  -3.100780E-01   3.939313955E-08
     9      34.321995   4.386712E-01   7.775684E+14    6.94613E+34   6.620810457E-08  -3.100775E-01   6.255459690E-08
    10      40.042264   4.386703E-01   7.775666E+14    6.94607E+34   1.051353683E-07  -3.100768E-01   9.933384338E-08
    11      46.715874   4.386690E-01   7.775640E+14    6.94600E+34   1.669496670E-07  -3.100759E-01   1.577372979E-07
    12      54.501694   4.386672E-01   7.775606E+14    6.94591E+34   2.651068535E-07  -3.100746E-01   2.504784662E-07
    13      63.585056   4.386648E-01   7.775559E+14    6.94578E+34   4.209733062E-07  -3.100730E-01   3.977450791E-07
    14      74.182163   4.386615E-01   7.775495E+14    6.94560E+34   6.684758438E-07  -3.100707E-01   6.315926787E-07
    15      86.545218   4.386570E-01   7.775408E+14    6.94536E+34   1.061484245E-06  -3.100675E-01   1.002920331E-06
    16     100.968406   4.386509E-01   7.775289E+14    6.94503E+34   1.685531454E-06  -3.100633E-01   1.592545333E-06
    17     117.794863   4.386426E-01   7.775128E+14    6.94458E+34   2.676418417E-06  -3.100575E-01   2.528784121E-06
    18     137.424782   4.386313E-01   7.774909E+14    6.94398E+34   4.249744044E-06  -3.100496E-01   4.015358589E-06
    19     160.324850   4.386159E-01   7.774610E+14    6.94315E+34   6.747767757E-06  -3.100388E-01   6.375685438E-06
    20     187.039209   4.385950E-01   7.774204E+14    6.94202E+34   1.071376088E-05  -3.100242E-01   1.012315232E-05
    21     218.202169   4.385666E-01   7.773651E+14    6.94049E+34   1.700993425E-05  -3.100043E-01   1.607259776E-05
    22     254.552937   4.385278E-01   7.772898E+14    6.93841E+34   2.700440149E-05  -3.099772E-01   2.551708650E-05
    23     296.952612   4.384751E-01   7.771874E+14    6.93557E+34   4.286741891E-05  -3.099403E-01   4.050808136E-05
    24     346.403730   4.384034E-01   7.770481E+14    6.93172E+34   6.804039902E-05  -3.098901E-01   6.429917787E-05
    25     404.072627   4.383058E-01   7.768585E+14    6.92648E+34   1.079776579E-04  -3.098219E-01   1.020482193E-04
    26     471.314802   4.381730E-01   7.766006E+14    6.91935E+34   1.713177551E-04  -3.097291E-01   1.619267979E-04
    27     549.703397   4.379924E-01   7.762499E+14    6.90966E+34   2.717294883E-04  -3.096030E-01   2.568704037E-04
    28     641.060631   4.377469E-01   7.757730E+14    6.89650E+34   4.308130616E-04  -3.094315E-01   4.073324292E-04
    29     747.491686   4.374132E-01   7.751249E+14    6.87865E+34   6.826422474E-04  -3.091987E-01   6.456033798E-04
    30     871.419828   4.369598E-01   7.742445E+14    6.85445E+34   1.080838568E-03  -3.088827E-01   1.022553822E-03
    31    1015.620498   4.363443E-01   7.730494E+14    6.82169E+34   1.709509422E-03  -3.084543E-01   1.618094613E-03
    32    1183.250352   4.355096E-01   7.714289E+14    6.77743E+34   2.699991001E-03  -3.078743E-01   2.557261432E-03
    33    1377.864551   4.343789E-01   7.692343E+14    6.71781E+34   4.256116302E-03  -3.070906E-01   4.034644660E-03
    34    1603.411549   4.328500E-01   7.662676E+14    6.63778E+34   6.691588561E-03  -3.060344E-01   6.350852149E-03
    35    1864.188725   4.307875E-01   7.622670E+14    6.53089E+34   1.048366592E-02  -3.046162E-01   9.965578164E-03
    36    2164.734003   4.280098E-01   7.569017E+14    6.38907E+34   1.634699923E-02  -3.027207E-01   1.557199111E-02
    37    2509.613556   4.242884E-01   7.497287E+14    6.20259E+34   2.532827762E-02  -3.002039E-01   2.419497598E-02
    38    2903.072682   4.193320E-01   7.401895E+14    5.96032E+34   3.891362974E-02  -2.968910E-01   3.730927013E-02
    39    3348.478782   4.127683E-01   7.276173E+14    5.65057E+34   5.912218820E-02  -2.925804E-01   5.695559485E-02
    40    3847.501716   4.041684E-01   7.112179E+14    5.26285E+34   8.852468159E-02  -2.870578E-01   8.580167471E-02
    41    4399.030073   3.930373E-01   6.901266E+14    4.79078E+34   1.300827585E-01  -2.801247E-01   1.270445500E-01
    42    4997.867947   3.788534E-01   6.634465E+14    4.23616E+34   1.866651455E-01  -2.716480E-01   1.839963817E-01
    43    5633.495523   3.611338E-01   6.304349E+14    3.61332E+34   2.601361997E-01  -2.616279E-01   2.592005837E-01
    44    6289.308454   3.395295E-01   5.906089E+14    2.95183E+34   3.500930594E-01  -2.502711E-01   3.530579589E-01
    45    6943.165492   3.053630E-01   5.283496E+14    2.29764E+34   4.522099519E-01  -2.380343E-01   4.618455159E-01
    46    7588.375332   2.774845E-01   4.781299E+14    1.69343E+34   5.605573485E-01  -2.252665E-01   5.798284291E-01
    47    8180.595151   2.470888E-01   4.240637E+14    1.18187E+34   6.655398540E-01  -2.131111E-01   6.963891299E-01
    48    8700.690205   2.153969E-01   3.683369E+14    7.82568E+33   7.583580782E-01  -2.022298E-01   8.011839654E-01
    49    9137.999530   1.657827E-01   2.819033E+14    5.21066E+33   8.264393536E-01  -1.930818E-01   8.791790215E-01
    50    9550.791622   1.402010E-01   2.377755E+14    3.18730E+33   8.856560998E-01  -1.845991E-01   9.476214051E-01
    51    9875.639608   1.168867E-01   1.978146E+14    1.88845E+33   9.278726265E-01  -1.780720E-01   9.967045170E-01
    52   10122.878483   9.579722E-02   1.618352E+14    1.09297E+33   9.560264442E-01  -1.732186E-01   1.029559661E+00
    53   10307.111978   7.791959E-02   1.317343E+14    6.21917E+32   9.738636259E-01  -1.696808E-01   1.050405193E+00
    54   10441.104155   5.634536E-02   9.510792E+13    3.63992E+32   9.841497065E-01  -1.671575E-01   1.062423731E+00
    55   10552.904774   4.018377E-02   6.773777E+13    2.11922E+32   9.904783549E-01  -1.650898E-01   1.069825159E+00
    56   10646.558626   2.835695E-02   4.775247E+13    1.23594E+32   9.942943970E-01  -1.633872E-01   1.074288888E+00
    57   10725.654323   1.997221E-02   3.359859E+13    7.18952E+31   9.966020007E-01  -1.619716E-01   1.076988287E+00
    58   10792.204252   1.400118E-02   2.353367E+13    4.17959E+31   9.979838341E-01  -1.607972E-01   1.078604720E+00
    59   10848.261770   9.806867E-03   1.646964E+13    2.42659E+31   9.988082153E-01  -1.598199E-01   1.079569042E+00
    60   10895.350143   6.804253E-03   1.142230E+13    1.41043E+31   9.992959523E-01  -1.590076E-01   1.080139537E+00
    61   10935.227985   4.617345E-03   7.747830E+12    8.22802E+30   9.995829185E-01  -1.583258E-01   1.080475074E+00
    62   10969.827614   2.924229E-03   4.904184E+12    4.85363E+30   9.997501580E-01  -1.577389E-01   1.080670609E+00
    63   11002.316091   1.778661E-03   2.981537E+12    2.95032E+30   9.998457434E-01  -1.571917E-01   1.080782361E+00
    64   11035.027054   9.797085E-04   1.640913E+12    1.83779E+30   9.999023281E-01  -1.566445E-01   1.080848522E+00
    65   11072.305772   5.444910E-04   9.110715E+11    1.15504E+30   9.999375271E-01  -1.560256E-01   1.080889694E+00
    66   11114.835026   2.441281E-04   4.079172E+11    7.26210E+29   9.999599746E-01  -1.553255E-01   1.080915952E+00
    67   11175.066245   1.552735E-04   2.592822E+11    4.38655E+29   9.999753284E-01  -1.543447E-01   1.080933921E+00
    68   11233.044997   1.028693E-04   1.717178E+11    2.60805E+29   9.999850486E-01  -1.534123E-01   1.080945291E+00
    69   11285.744522   6.669936E-05   1.111960E+11    1.55518E+29   9.999909291E-01  -1.525746E-01   1.080952170E+00
    70   11334.818021   4.388572E-05   7.313198E+10    9.24173E+28   9.999945241E-01  -1.518028E-01   1.080956376E+00
    71   11379.620846   2.907525E-05   4.842470E+10    5.44268E+28   9.999967284E-01  -1.511050E-01   1.080958954E+00
    72   11419.846707   1.917804E-05   3.193403E+10    3.23998E+28   9.999980277E-01  -1.504839E-01   1.080960473E+00
    73   11456.465614   1.257201E-05   2.091986E+10    1.90855E+28   9.999988248E-01  -1.499230E-01   1.080961405E+00
    74   11489.645759   8.167570E-06   1.358546E+10    1.12995E+28   9.999992972E-01  -1.494184E-01   1.080961958E+00
    75   11520.104255   5.452490E-06   9.068141E+09    6.66311E+27   9.999995819E-01  -1.489582E-01   1.080962291E+00
    76   11547.182932   3.648368E-06   6.064933E+09    3.91442E+27   9.999997526E-01  -1.485514E-01   1.080962490E+00
